1.8106	1.4423	-0.99276	3.7348	-0.29295	NaN
2.225	1.3434	-0.8035	3.5116	-0.73428	NaN
2.6072	1.2295	-0.61798	3.2534	-1.1605	NaN
2.9273	1.0907	-0.44143	2.9289	-1.5562	NaN
3.1807	0.91245	-0.27001	2.5304	-1.8964	NaN
3.3716	0.68512	-0.097228	2.0649	-2.163	NaN
3.4896	0.40417	0.076756	1.5343	-2.367	NaN
3.4988	0.071983	0.23819	0.94987	-2.5348	NaN
3.3844	-0.29691	0.37843	0.32883	-2.6764	NaN
3.1628	-0.66388	0.48604	-0.28264	-2.7761	NaN
2.8588	-1.0012	0.55595	-0.85402	-2.8145	NaN
2.4802	-1.3127	0.59606	-1.4028	-2.7843	NaN
2.0458	-1.5969	0.61475	-1.9163	-2.6805	NaN
1.5862	-1.8507	0.62314	-2.3638	-2.486	NaN
1.1386	-2.0689	0.63034	-2.7169	-2.1935	NaN
0.70252	-2.2555	0.63026	-2.9815	-1.8499	NaN
0.26407	-2.415	0.61113	-3.187	-1.5284	NaN
-0.20425	-2.5522	0.56414	-3.3688	-1.2577	NaN
-0.72153	-2.6712	0.4864	-3.5381	-1.0159	NaN
-1.3058	-2.764	0.37579	-3.6721	-0.74901	NaN
-1.9538	-2.7996	0.23003	-3.7187	-0.41146	NaN
-2.6097	-2.7498	0.059841	-3.6091	0.01887	NaN
-3.2122	-2.6031	-0.11808	-3.3151	0.52923	NaN
-3.7305	-2.372	-0.29729	-2.8876	1.0428	NaN
-4.1647	-2.0993	-0.4723	-2.4125	1.4612	NaN
-4.5125	-1.8116	-0.63825	-1.9448	1.7544	NaN
-4.7642	-1.5105	-0.7885	-1.4802	1.9471	NaN
-4.9077	-1.1876	-0.91537	-0.99158	2.0672	NaN
-4.9341	-0.82748	-1.0185	-0.46289	2.1324	NaN
-4.8438	-0.40312	-1.1123	0.12243	2.1583	NaN
-4.6539	0.063	-1.1983	0.73553	2.1362	NaN
-4.3873	0.51574	-1.2691	1.3103	2.065	NaN
-4.0516	0.92242	-1.3235	1.8156	1.9544	NaN
-3.649	1.2822	-1.3599	2.2586	1.8083	NaN
-3.198	1.5952	-1.3779	2.6378	1.6231	NaN
-2.7339	1.8529	-1.3846	2.9358	1.3834	NaN
-2.2903	2.0496	-1.3874	3.1391	1.079	NaN
-1.8848	2.1964	-1.3887	3.2581	0.72792	NaN
-1.5309	2.3027	-1.3891	3.293	0.35188	NaN
-1.2053	2.3805	-1.3868	3.2628	-0.020773	NaN
-0.88028	2.4505	-1.3745	3.2082	-0.35582	NaN
-0.53618	2.5257	-1.3464	3.1691	-0.62201	NaN
-0.17878	2.5969	-1.3032	3.1529	-0.81569	NaN
0.18231	2.6544	-1.2517	3.1215	-0.98423	NaN
0.52339	2.6726	-1.2019	3.0382	-1.1716	NaN
0.83402	2.6422	-1.1558	2.8817	-1.3874	NaN
1.131	2.5667	-1.1089	2.6363	-1.6312	NaN
1.4168	2.4315	-1.0565	2.2985	-1.907	NaN
1.6606	2.2254	-1.0004	1.8786	-2.201	NaN
1.8315	1.9592	-0.95011	1.3776	-2.4882	NaN
1.9127	1.6424	-0.91494	0.78622	-2.75	NaN
1.8879	1.2803	-0.90297	0.10778	-2.9644	NaN
1.757	0.87602	-0.91809	-0.64795	-3.1024	NaN
1.5356	0.45582	-0.95621	-1.4125	-3.1117	NaN
1.2531	0.049145	-1.0082	-2.1036	-2.951	NaN
0.957	-0.31072	-1.0623	-2.6454	-2.6085	NaN
0.67434	-0.61175	-1.112	-3.0109	-2.1211	NaN
0.40431	-0.86614	-1.1601	-3.2243	-1.5365	NaN
