-2.3129	-5.529	0.25569	-1.5701	1.4324
-3.1555	-5.22	0.27808	-1.0427	1.3437
-3.9448	-4.8713	0.30119	-0.53204	1.2596
-4.6235	-4.4446	0.33594	-0.03589	1.177
-5.1737	-3.8843	0.38977	0.48671	1.1056
-5.5764	-3.1639	0.45875	1.063	1.0544
-5.7853	-2.3268	0.52973	1.6634	1.0244
-5.7764	-1.4339	0.59082	2.2153	0.97644
-5.5409	-0.46785	0.63609	2.7026	0.87553
-5.0755	0.55998	0.66533	3.1212	0.7177
-4.3896	1.5809	0.68406	3.4567	0.51447
-3.5017	2.5212	0.69384	3.7101	0.2804
-2.4593	3.3241	0.7068	3.873	0.035595
-1.351	3.952	0.7325	3.9274	-0.21462
-0.29692	4.3718	0.76706	3.8373	-0.48374
0.63636	4.5894	0.80018	3.5769	-0.79909
1.4395	4.6241	0.82959	3.1782	-1.1596
2.1532	4.5309	0.86122	2.7039	-1.5079
2.8113	4.3699	0.89943	2.2339	-1.7502
3.4633	4.1767	0.95316	1.8366	-1.8281
4.1377	3.966	1.0286	1.5322	-1.7343
4.8107	3.7221	1.1197	1.2676	-1.5241
5.4316	3.3955	1.2199	0.9413	-1.2869
5.9425	2.9345	1.3256	0.47672	-1.0905
6.2774	2.3206	1.431	-0.16081	-0.96717
6.378	1.5851	1.5214	-0.92615	-0.90607
6.2159	0.77926	1.5744	-1.7396	-0.87207
5.8082	-0.064442	1.5947	-2.5331	-0.83261
5.2091	-0.88788	1.5882	-3.2328	-0.77751
4.505	-1.627	1.5452	-3.7663	-0.69609
3.7493	-2.2559	1.4748	-4.1331	-0.57028
2.9752	-2.7794	1.3884	-4.3434	-0.38351
2.1734	-3.2311	1.2887	-4.4251	-0.12943
1.3465	-3.6109	1.1772	-4.4057	0.17019
0.52721	-3.9024	1.0626	-4.2986	0.50428
-0.23686	-4.0912	0.95273	-4.1342	0.84914
-0.90685	-4.1911	0.84707	-3.9606	1.1333
-1.5082	-4.2463	0.73393	-3.8134	1.292
-2.0858	-4.2899	0.60037	-3.6971	1.3142
-2.7094	-4.3184	0.4332	-3.582	1.2517
-3.4268	-4.3019	0.22829	-3.4108	1.1821
-4.2003	-4.1937	-0.0015452	-3.1234	1.1842
-4.9142	-3.9614	-0.22752	-2.6828	1.3005
-5.4911	-3.6009	-0.43738	-2.1083	1.4933
-5.9156	-3.1113	-0.63676	-1.4327	1.7105
-6.1767	-2.5086	-0.82679	-0.69535	1.8993
-6.2734	-1.7962	-1.0056	0.11057	2.0211
-6.2041	-1.0048	-1.1664	0.95849	2.044
-5.963	-0.21173	-1.3029	1.753	1.9591
-5.5583	0.55878	-1.4134	2.4414	1.7522
-5.0004	1.3133	-1.4986	3.0035	1.425
-4.3218	2.0359	-1.5537	3.4117	0.99474
-3.5625	2.6928	-1.5845	3.6594	0.51254
-2.7454	3.2535	-1.5914	3.7738	0.05535
-1.8573	3.7006	-1.5722	3.7926	-0.33945
-0.87853	4.0312	-1.5311	3.7242	-0.7024
0.10619	4.22	-1.4741	3.5352	-1.0547
1.0095	4.2498	-1.4075	3.1882	-1.3968
1.7998	4.1105	-1.3394	2.6553	-1.7453
2.4555	3.7993	-1.2787	1.9317	-2.1083
2.9303	3.3341	-1.2287	1.0605	-2.4644
3.1834	2.7661	-1.1886	0.1263	-2.7606
3.2193	2.1453	-1.1649	-0.81152	-2.955
3.0787	1.5226	-1.1651	-1.7048	-3.0218
2.8145	0.94262	-1.1942	-2.5091	-2.9375
2.4715	0.39621	-1.257	-3.2419	-2.6896
2.0748	-0.11176	-1.3537	-3.8896	-2.3101
1.6427	-0.56149	-1.4763	-4.404	-1.8648
1.1691	-0.96669	-1.6175	-4.7686	-1.4052
0.62248	-1.3728	-1.7812	-4.9992	-0.94163
-0.033109	-1.8118	-1.9772	-5.1134	-0.47259
-0.79483	-2.2559	-2.2045	-5.1005	-0.005804
-1.6354	-2.6566	-2.4588	-4.9335	0.46387
-2.4822	-2.949	-2.7264	-4.5807	0.93145
-3.2764	-3.0913	-2.9965	-4.0318	1.3893
-3.9671	-3.0726	-3.2576	-3.3113	1.8085
-4.5249	-2.918	-3.4957	-2.4651	2.1436
-4.925	-2.6515	-3.695	-1.5552	2.3643
-5.1494	-2.2841	-3.8453	-0.60741	2.4659
-5.1954	-1.8172	-3.9445	0.39057	2.4579
-5.0694	-1.2836	-3.9881	1.3979	2.3411
-4.7763	-0.72901	-3.9816	2.3291	2.1296
-4.3101	-0.18433	-3.9436	3.1263	1.849
-3.6815	0.34015	-3.8843	3.7775	1.5067
-2.9444	0.8158	-3.7989	4.2646	1.1162
-2.1507	1.229	-3.6793	4.5874	0.67757
-1.3402	1.5825	-3.5219	4.7493	0.18903
-0.53512	1.8792	-3.3279	4.7696	-0.31474
0.26915	2.1146	-3.1004	4.6918	-0.75869
1.1066	2.2876	-2.8369	4.5568	-1.0925
1.9842	2.3952	-2.5363	4.3687	-1.3092
2.8701	2.4188	-2.2033	4.0938	-1.453
3.7004	2.3157	-1.8504	3.684	-1.5882
4.4364	2.0444	-1.4775	3.0914	-1.7669
5.0168	1.598	-1.0989	2.3125	-1.9824
5.3611	1.0099	-0.74469	1.4039	-2.1815
5.4426	0.30529	-0.42724	0.41465	-2.3303
5.2794	-0.45794	-0.16018	-0.58544	-2.3931
4.9271	-1.2066	0.045908	-1.5155	-2.3368
4.4346	-1.8819	0.18923	-2.3094	-2.1763
3.8406	-2.4632	0.27899	-2.9331	-1.933
3.1461	-2.9739	0.33355	-3.3881	-1.6023
2.3524	-3.4262	0.36946	-3.668	-1.1692
1.4836	-3.8174	0.39773	-3.7447	-0.6224
0.5612	-4.1251	0.4173	-3.6113	0.0090312
