"canonicalName","EdgeBetweenness","frequency","interaction","inverse distance","name","selected","shared interaction","shared name"
"unc-42_e270 (pp) unc-86_e1416","116.06096494","0.54","pp","0.140102579","unc-42_e270 (pp) unc-86_e1416","false","pp","unc-42_e270 (pp) unc-86_e1416"
"unc-42_e270 (pp) unc-80_e1069","149.58556835","0.54","pp","0.117492973","unc-42_e270 (pp) unc-80_e1069","false","pp","unc-42_e270 (pp) unc-80_e1069"
"unc-42_e270 (pp) unc-7_e5","5.77874621","0.72","pp","0.117419803","unc-42_e270 (pp) unc-7_e5","false","pp","unc-42_e270 (pp) unc-7_e5"
"unc-42_e270 (pp) unc-79_e1068","161.82752446","0.61","pp","0.14325099","unc-42_e270 (pp) unc-79_e1068","false","pp","unc-42_e270 (pp) unc-79_e1068"
"unc-38_e264 (pp) unc-63_ok1075","2.0","0.87","pp","0.190892437","unc-38_e264 (pp) unc-63_ok1075","false","pp","unc-38_e264 (pp) unc-63_ok1075"
"unc-2_ox106 (pp) unc-63_ok1075","2.0","0.5","pp","0.127999196","unc-2_ox106 (pp) unc-63_ok1075","false","pp","unc-2_ox106 (pp) unc-63_ok1075"
"unc-2_ox106 (pp) unc-38_e264","2.0","0.47","pp","0.117413774","unc-2_ox106 (pp) unc-38_e264","false","pp","unc-2_ox106 (pp) unc-38_e264"
"unc-34_e566 (pp) unc-4_e120","618.60311265","0.49","pp","0.152890487","unc-34_e566 (pp) unc-4_e120","false","pp","unc-34_e566 (pp) unc-4_e120"
"unc-34_e566 (pp) unc-3_e151","148.14135381","0.66","pp","0.128685545","unc-34_e566 (pp) unc-3_e151","false","pp","unc-34_e566 (pp) unc-3_e151"
"unc-10_md1117 (pp) unc-115_mn481","568.0","0.42","pp","0.0852871","unc-10_md1117 (pp) unc-115_mn481","false","pp","unc-10_md1117 (pp) unc-115_mn481"
"unc-3_e151 (pp) unc-44_e1197","24.08096232","0.49","pp","0.120386543","unc-3_e151 (pp) unc-44_e1197","false","pp","unc-3_e151 (pp) unc-44_e1197"
"unc-103_e1597 (pp) unc-14_e57","568.0","0.48","pp","0.183824841","unc-103_e1597 (pp) unc-14_e57","false","pp","unc-103_e1597 (pp) unc-14_e57"
"unc-26_m2 (pp) unc-3_e151","373.39427127","0.41","pp","0.126352494","unc-26_m2 (pp) unc-3_e151","false","pp","unc-26_m2 (pp) unc-3_e151"
"unc-26_m2 (pp) unc-2_gk366","54.7744174","0.6","pp","0.126134194","unc-26_m2 (pp) unc-2_gk366","false","pp","unc-26_m2 (pp) unc-2_gk366"
"unc-1_e1598 (pp) unc-2_gk366","287.64749781","0.47","pp","0.119109594","unc-1_e1598 (pp) unc-2_gk366","false","pp","unc-1_e1598 (pp) unc-2_gk366"
"unc-1_e1598 (pp) unc-26_m2","36.895966","0.43","pp","0.060447962","unc-1_e1598 (pp) unc-26_m2","false","pp","unc-1_e1598 (pp) unc-26_m2"
"unc-14_e57 (pp) unc-44_e1197","272.95951884","0.56","pp","0.184831395","unc-14_e57 (pp) unc-44_e1197","false","pp","unc-14_e57 (pp) unc-44_e1197"
"unc-14_e57 (pp) unc-3_e151","59.67266862","0.43","pp","0.067189973","unc-14_e57 (pp) unc-3_e151","false","pp","unc-14_e57 (pp) unc-3_e151"
