"V1","V2","V3","V4","V5","V6"
2.4094,2.6101,-2.4695,0.0041872,0.42217,5.0067
2.75,2.2473,-2.3872,-0.15421,0.43657,5.0002
3.0865,1.8736,-2.3021,-0.29297,0.46963,4.9927
3.4063,1.4972,-2.2123,-0.38002,0.54916,4.9834
3.701,1.1138,-2.1145,-0.39449,0.67426,4.9715
3.9557,0.70138,-2.0101,-0.3365,0.80365,4.9568
4.1532,0.24589,-1.8961,-0.23882,0.89497,4.9405
4.2717,-0.24411,-1.7721,-0.14202,0.918,4.9245
4.3012,-0.75086,-1.6307,-0.070242,0.86819,4.9103
4.2252,-1.2815,-1.4733,-0.020622,0.74733,4.8983
4.0338,-1.8257,-1.2986,-0.00098148,0.56991,4.8892
3.7179,-2.3781,-1.1176,0.0076181,0.34339,4.8833
3.2966,-2.9125,-0.93682,0.013352,0.095585,4.8808
2.8235,-3.3687,-0.76373,0.0018536,-0.12407,4.8823
2.3333,-3.7172,-0.60427,-0.022611,-0.29823,4.8881
1.8035,-3.9723,-0.45282,-0.068924,-0.44407,4.8986
1.211,-4.1452,-0.30554,-0.13328,-0.57285,4.9138
0.52631,-4.2448,-0.15612,-0.21099,-0.69078,4.9338
-0.22039,-4.2616,-0.010953,-0.28855,-0.78399,4.9577
-0.97803,-4.1894,0.11588,-0.35244,-0.84231,4.9838
-1.7017,-4.0392,0.21262,-0.40326,-0.86701,5.0107
-2.3403,-3.8316,0.27312,-0.43831,-0.86267,5.0366
-2.8824,-3.5723,0.3086,-0.45029,-0.8309,5.0607
-3.329,-3.2682,0.32927,-0.43333,-0.78287,5.0827
-3.7054,-2.9244,0.33445,-0.39493,-0.73299,5.1034
-4.0222,-2.5497,0.32291,-0.34703,-0.68586,5.1232
-4.283,-2.1435,0.29514,-0.29208,-0.63308,5.1425
-4.4849,-1.7091,0.256,-0.2274,-0.56693,5.1612
-4.6287,-1.2546,0.20912,-0.15742,-0.4911,5.1791
-4.7313,-0.8007,0.14742,-0.094384,-0.41806,5.1965
-4.8048,-0.37722,0.068912,-0.050039,-0.35751,5.213
-4.848,0.016267,-0.016488,-0.028482,-0.30335,5.2285
-4.8481,0.39054,-0.10367,-0.012543,-0.23683,5.2425
-4.7872,0.77341,-0.19454,0.026153,-0.15171,5.2545
-4.6411,1.2013,-0.29165,0.10809,-0.05918,5.2641
-4.3879,1.6681,-0.39452,0.22533,0.027734,5.2708
-4.0088,2.1449,-0.50497,0.35694,0.09314,5.2742
-3.4624,2.6231,-0.63144,0.50141,0.13557,5.2741
-2.7249,3.0812,-0.77003,0.6552,0.16105,5.2698
-1.8283,3.4791,-0.8995,0.79697,0.17658,5.2613
-0.87601,3.7723,-0.99477,0.91403,0.18823,5.2491
0.0062589,3.9415,-1.0356,1.0066,0.20389,5.2349
0.76655,3.9996,-1.0179,1.0765,0.22658,5.2197
1.4629,3.9659,-0.95369,1.1254,0.24514,5.2028
2.1563,3.8514,-0.85934,1.1402,0.24026,5.184
2.7989,3.6631,-0.7614,1.0902,0.19002,5.1654
3.3301,3.4058,-0.68722,0.95847,0.095477,5.1494
3.7672,3.0811,-0.63438,0.76634,-0.011325,5.1347
4.1361,2.7013,-0.58539,0.55432,-0.087202,5.1197
4.4419,2.2659,-0.53407,0.33663,-0.11978,5.1041
4.6843,1.7547,-0.48206,0.10412,-0.13239,5.0877
4.8486,1.1774,-0.42412,-0.15123,-0.15752,5.0712
4.9186,0.59893,-0.35387,-0.41376,-0.20197,5.0568
4.899,0.066782,-0.27997,-0.65539,-0.24317,5.0453
4.8094,-0.40023,-0.2095,-0.85338,-0.26165,5.0364
4.656,-0.81262,-0.14015,-1.0166,-0.26255,5.0297
4.4293,-1.1998,-0.067515,-1.1718,-0.25815,5.0251
4.1067,-1.5978,0.00023658,-1.3287,-0.26151,5.0225
3.6749,-2.01,0.058917,-1.4944,-0.27653,5.0226
3.1397,-2.4155,0.1075,-1.6709,-0.29447,5.0258
2.5411,-2.777,0.14167,-1.841,-0.30291,5.0319
1.9287,-3.0614,0.15529,-1.9792,-0.28922,5.0402
1.3255,-3.2623,0.15339,-2.0661,-0.23546,5.0497
0.7522,-3.3797,0.1472,-2.0917,-0.13221,5.0595
0.19002,-3.4321,0.14083,-2.0645,0.003697,5.0698
-0.37168,-3.4429,0.12759,-1.997,0.1176,5.0808
-0.95003,-3.4358,0.10339,-1.8717,0.16745,5.0921
-1.5271,-3.4008,0.066171,-1.6997,0.16932,5.1036
-2.071,-3.3156,0.018013,-1.5002,0.17175,5.1154
-2.5302,-3.1713,-0.033382,-1.2831,0.20422,5.1265
-2.9016,-2.9667,-0.087297,-1.0478,0.26883,5.1368
-3.2054,-2.7044,-0.14366,-0.79738,0.34747,5.147
-3.4609,-2.3919,-0.19853,-0.54201,0.40741,5.1579
-3.6956,-2.028,-0.25345,-0.28756,0.43431,5.1703
-3.9167,-1.6363,-0.30742,-0.063905,0.41628,5.1845
-4.1194,-1.2597,-0.36159,0.091511,0.33953,5.1998
-4.2946,-0.8985,-0.4197,0.18687,0.22128,5.2156
-4.4201,-0.52846,-0.48296,0.26059,0.10233,5.2312
-4.4665,-0.13069,-0.54592,0.34654,0.012383,5.2452
-4.4,0.31813,-0.60772,0.47831,-0.028085,5.2568
-4.1897,0.83272,-0.6707,0.67404,-0.015721,5.2654
-3.8181,1.3862,-0.72802,0.91635,0.030037,5.2701
-3.2967,1.9374,-0.77575,1.1623,0.07709,5.2712
-2.6649,2.4244,-0.81388,1.3681,0.098785,5.269
-1.9407,2.8195,-0.84667,1.4997,0.080718,5.2638
-1.1364,3.1128,-0.87887,1.5418,0.020163,5.2561
-0.26704,3.303,-0.90889,1.4967,-0.070825,5.2463
0.58697,3.3773,-0.92646,1.3703,-0.17014,5.2356
1.328,3.335,-0.92764,1.1775,-0.26725,5.2258
1.9232,3.197,-0.91333,0.94558,-0.34846,5.2172
2.4019,2.9988,-0.88777,0.71811,-0.3944,5.209
2.7987,2.7786,-0.85144,0.52971,-0.38971,5.2003
3.1562,2.5524,-0.80155,0.38702,-0.33204,5.1902
