"V1","V2","V3","V4","V5","V6"
4.0022,0.51483,-1.1131,-0.86315,-0.19902,-3.4435
3.9479,0.29286,-1.1098,-0.91534,-0.23491,-3.4465
3.8851,0.051497,-1.1031,-0.97862,-0.27166,-3.4496
3.8038,-0.20769,-1.0924,-1.0556,-0.30604,-3.4523
3.6877,-0.49666,-1.0779,-1.1509,-0.33734,-3.4543
3.5218,-0.81732,-1.0631,-1.2587,-0.36534,-3.4554
3.2973,-1.1586,-1.0497,-1.3691,-0.38982,-3.4555
3.0149,-1.4966,-1.0392,-1.479,-0.40705,-3.4542
2.6804,-1.818,-1.0338,-1.5858,-0.41383,-3.4514
2.3183,-2.1041,-1.0334,-1.6791,-0.40573,-3.4474
1.9575,-2.3449,-1.0343,-1.7426,-0.37936,-3.443
1.6139,-2.5399,-1.0307,-1.7693,-0.32924,-3.4387
1.2965,-2.693,-1.0199,-1.7635,-0.25857,-3.4347
0.99097,-2.8183,-1.0038,-1.7404,-0.18008,-3.4306
0.68348,-2.9234,-0.98883,-1.7147,-0.11002,-3.4258
0.3591,-3.0144,-0.97709,-1.6849,-0.051481,-3.42
0.02085,-3.0885,-0.96452,-1.6336,0.0043438,-3.4135
-0.33407,-3.1437,-0.94828,-1.5367,0.065663,-3.4063
-0.71286,-3.1719,-0.92794,-1.3799,0.14522,-3.3987
-1.089,-3.1598,-0.90397,-1.1693,0.24996,-3.391
-1.413,-3.1068,-0.87772,-0.92655,0.36229,-3.3846
-1.6742,-3.0261,-0.85233,-0.68583,0.46101,-3.3793
-1.8839,-2.9378,-0.83143,-0.47663,0.525,-3.3749
-2.0645,-2.8588,-0.8171,-0.32366,0.53838,-3.3704
-2.2483,-2.7935,-0.81464,-0.23371,0.4981,-3.3646
-2.4667,-2.7323,-0.82517,-0.19644,0.41551,-3.3563
-2.7321,-2.6581,-0.84647,-0.19004,0.30687,-3.3448
-3.0199,-2.5586,-0.87561,-0.1939,0.19356,-3.3309
-3.3045,-2.4114,-0.90583,-0.17582,0.095625,-3.3151
-3.5629,-2.1849,-0.93296,-0.095388,0.037685,-3.2981
-3.7712,-1.8615,-0.96314,0.071138,0.035186,-3.2807
-3.9094,-1.447,-0.99991,0.32176,0.083005,-3.2639
-3.9629,-0.99245,-1.0326,0.60574,0.14123,-3.2492
-3.9362,-0.55182,-1.0535,0.86305,0.17579,-3.2368
-3.8424,-0.14412,-1.0681,1.0776,0.18169,-3.2266
-3.6946,0.22201,-1.0807,1.2558,0.16804,-3.2187
-3.5035,0.54795,-1.0911,1.4022,0.14418,-3.2126
-3.2725,0.84974,-1.1003,1.5229,0.11071,-3.2078
-3.0047,1.1374,-1.1067,1.6194,0.067974,-3.2037
-2.7025,1.4155,-1.1081,1.6885,0.015511,-3.2
-2.3712,1.6804,-1.104,1.7314,-0.043705,-3.1967
-2.0139,1.9279,-1.0945,1.7502,-0.10645,-3.194
-1.6242,2.1522,-1.0796,1.7576,-0.16677,-3.1928
-1.1966,2.3477,-1.0567,1.7709,-0.21292,-3.1939
-0.7358,2.5118,-1.0207,1.7903,-0.23769,-3.1975
-0.26161,2.6387,-0.97112,1.8,-0.24801,-3.2029
0.19188,2.7173,-0.91371,1.7801,-0.26058,-3.209
0.61586,2.7427,-0.8548,1.7133,-0.29186,-3.215
1.0077,2.7162,-0.79949,1.5933,-0.35,-3.2204
1.3549,2.6462,-0.75178,1.4301,-0.42732,-3.2248
1.6711,2.5497,-0.70701,1.2549,-0.49115,-3.229
1.9899,2.4454,-0.65796,1.1061,-0.51179,-3.2346
2.3278,2.3445,-0.60275,1.0033,-0.47676,-3.2427
2.6813,2.2448,-0.54058,0.94303,-0.39655,-3.253
3.0301,2.1271,-0.46895,0.9037,-0.30275,-3.265
3.3687,1.9604,-0.38114,0.8516,-0.22191,-3.2786
3.6876,1.7137,-0.27154,0.75567,-0.17936,-3.2934
3.9688,1.3692,-0.14187,0.59379,-0.18609,-3.3091
4.1717,0.94933,-0.0086462,0.36995,-0.22561,-3.3235
4.2745,0.48368,0.11801,0.10569,-0.27479,-3.3356
4.2789,-0.00025207,0.23725,-0.17679,-0.323,-3.3453
4.2059,-0.45337,0.33923,-0.43405,-0.35393,-3.3525
4.083,-0.84162,0.41944,-0.63709,-0.36241,-3.3574
3.9176,-1.1777,0.48672,-0.79696,-0.35703,-3.361
3.7112,-1.4725,0.54548,-0.93223,-0.3485,-3.3631
3.4662,-1.7352,0.59515,-1.0505,-0.33934,-3.364
3.1758,-1.9822,0.63675,-1.1595,-0.32659,-3.3637
2.8245,-2.2303,0.67252,-1.2661,-0.31104,-3.3623
2.4145,-2.4731,0.70249,-1.3638,-0.2941,-3.3597
1.9532,-2.7022,0.72786,-1.4459,-0.27698,-3.356
1.4613,-2.9036,0.74824,-1.5141,-0.26208,-3.351
0.95858,-3.0635,0.76024,-1.5733,-0.25254,-3.3445
0.45602,-3.1746,0.75988,-1.6192,-0.24714,-3.3363
-0.03991,-3.2358,0.74881,-1.6391,-0.23544,-3.3272
-0.53314,-3.2507,0.73039,-1.6272,-0.20851,-3.3174
-1.0219,-3.2209,0.70554,-1.5838,-0.1672,-3.3069
-1.5137,-3.1457,0.66936,-1.519,-0.1167,-3.2951
-2.0017,-3.0208,0.61761,-1.4391,-0.061368,-3.282
-2.4747,-2.8379,0.54995,-1.3373,0.00035495,-3.2675
-2.9189,-2.5895,0.46996,-1.1961,0.071833,-3.2525
-3.3309,-2.2699,0.38131,-1.0083,0.14936,-3.237
-3.6998,-1.8942,0.28547,-0.79084,0.22051,-3.2212
-4.0127,-1.4962,0.18515,-0.5824,0.26498,-3.2057
-4.2605,-1.1045,0.082218,-0.41143,0.27765,-3.1905
-4.4435,-0.72327,-0.025393,-0.27397,0.27134,-3.1759
-4.5617,-0.34277,-0.13715,-0.14731,0.2604,-3.1623
-4.6083,0.035026,-0.24618,-0.01733,0.25585,-3.1506
-4.5864,0.41283,-0.35292,0.1223,0.25768,-3.1408
-4.5028,0.77505,-0.44949,0.25792,0.25637,-3.133
-4.3616,1.127,-0.5403,0.386,0.24397,-3.1267
-4.1661,1.4685,-0.63121,0.50961,0.21873,-3.1215
-3.9155,1.7975,-0.72211,0.62816,0.18669,-3.1174
-3.6098,2.1163,-0.81156,0.73533,0.15459,-3.1141
-3.2551,2.4134,-0.89586,0.83007,0.12536,-3.1121
