"V1","V2","V3","V4","V5","V6"
2.1934,1.4905,1.5319,3.0756,-0.4431,1.8085
2.3557,1.4631,1.6162,2.9339,-0.56836,1.8028
2.5252,1.4328,1.7045,2.8061,-0.68094,1.7961
2.6994,1.3991,1.7959,2.7078,-0.7654,1.7883
2.8801,1.362,1.8917,2.6324,-0.82407,1.7793
3.0568,1.3279,1.9853,2.5648,-0.86409,1.7704
3.2108,1.2967,2.0678,2.491,-0.8947,1.7628
3.3349,1.2605,2.1386,2.3928,-0.93052,1.7571
3.4341,1.2099,2.2037,2.2523,-0.98659,1.7527
3.5067,1.1454,2.2615,2.0724,-1.0644,1.7498
3.5543,1.0743,2.3096,1.8746,-1.1505,1.7481
3.5769,1.0063,2.3456,1.6794,-1.2263,1.7476
3.5747,0.93957,2.3716,1.4964,-1.2892,1.7478
3.5584,0.87212,2.3941,1.3151,-1.3396,1.7484
3.5363,0.81044,2.4127,1.1451,-1.3769,1.7493
3.5046,0.76447,2.4204,1.0265,-1.408,1.7503
3.4557,0.72328,2.4187,0.96304,-1.4521,1.7509
3.3942,0.67307,2.4169,0.9145,-1.5112,1.7511
3.327,0.61359,2.4185,0.84829,-1.5784,1.7511
3.2617,0.55224,2.4241,0.75825,-1.6411,1.7515
3.2098,0.49479,2.4349,0.64487,-1.6834,1.752
3.1724,0.43886,2.4516,0.51268,-1.7047,1.7525
3.1448,0.38952,2.4676,0.3863,-1.712,1.7529
3.1159,0.34439,2.4793,0.27667,-1.7185,1.7533
3.0871,0.29391,2.4933,0.14379,-1.7148,1.7538
3.061,0.23272,2.5147,-0.028907,-1.6908,1.7542
3.035,0.16438,2.5409,-0.21079,-1.649,1.7542
3.0023,0.094198,2.5655,-0.36853,-1.6045,1.7535
2.9643,0.029005,2.5831,-0.48854,-1.5623,1.7524
2.9244,-0.029399,2.5925,-0.57915,-1.5236,1.7512
2.885,-0.083207,2.597,-0.65964,-1.4879,1.7501
2.8486,-0.13551,2.6014,-0.74838,-1.4485,1.7493
2.8145,-0.1824,2.605,-0.835,-1.4158,1.7488
2.7864,-0.21617,2.6056,-0.90062,-1.3965,1.7488
2.754,-0.24574,2.6026,-0.95465,-1.3909,1.749
2.7019,-0.28303,2.5953,-1.0159,-1.3983,1.7496
2.6232,-0.33051,2.5827,-1.0928,-1.413,1.7507
2.5148,-0.38858,2.5653,-1.193,-1.425,1.7525
2.3676,-0.46915,2.5478,-1.3449,-1.4123,1.7548
2.1871,-0.57085,2.5312,-1.5444,-1.3677,1.7575
2.0115,-0.66783,2.5149,-1.7349,-1.3029,1.7599
1.871,-0.74116,2.4997,-1.8794,-1.2294,1.7618
1.7719,-0.78663,2.4871,-1.9767,-1.1603,1.7631
1.6991,-0.81193,2.4746,-2.0428,-1.1077,1.7644
1.6314,-0.83146,2.458,-2.0972,-1.0774,1.7658
1.5609,-0.85138,2.4375,-2.1488,-1.0566,1.7673
1.4912,-0.87002,2.4165,-2.1916,-1.031,1.7686
1.433,-0.881,2.3986,-2.2152,-0.98856,1.7694
1.3752,-0.8871,2.3829,-2.2246,-0.93248,1.77
1.2937,-0.89412,2.3668,-2.2374,-0.8629,1.7711
1.187,-0.90517,2.3498,-2.2518,-0.77618,1.7722
1.0709,-0.92036,2.3319,-2.2638,-0.66954,1.773
0.9653,-0.93586,2.3152,-2.2695,-0.55664,1.7731
0.88597,-0.94852,2.3022,-2.2771,-0.46349,1.7731
0.81998,-0.96278,2.2907,-2.2996,-0.40498,1.7735
0.75928,-0.98225,2.2772,-2.3431,-0.3953,1.7748
0.70154,-1.0089,2.2597,-2.4064,-0.42954,1.7768
0.64408,-1.0426,2.2384,-2.4869,-0.48485,1.7792
0.57724,-1.0862,2.2113,-2.5791,-0.54872,1.782
0.49122,-1.1372,2.1771,-2.6764,-0.60661,1.785
0.35828,-1.1948,2.1303,-2.7819,-0.63928,1.7887
0.16966,-1.2535,2.0683,-2.885,-0.62839,1.7932
-0.074396,-1.3059,1.9923,-2.9745,-0.55223,1.7983
-0.34585,-1.3411,1.9093,-3.0322,-0.40674,1.8033
-0.59981,-1.3531,1.8314,-3.0437,-0.21822,1.8073
-0.79293,-1.3464,1.7698,-3.0132,-0.033514,1.8095
-0.94378,-1.3306,1.7193,-2.9707,0.1259,1.8111
-1.0766,-1.3178,1.6721,-2.9439,0.24255,1.8131
-1.2077,-1.3126,1.6227,-2.9477,0.31173,1.8161
-1.3654,-1.3127,1.5604,-2.9727,0.34958,1.8204
-1.5577,-1.3142,1.483,-2.9957,0.3817,1.8254
-1.7614,-1.3111,1.4004,-2.9952,0.42861,1.8298
-1.9504,-1.2966,1.3227,-2.9555,0.50232,1.8326
-2.11,-1.2648,1.2533,-2.8667,0.60824,1.8334
-2.2252,-1.2142,1.1965,-2.7376,0.7409,1.8325
-2.3027,-1.1499,1.149,-2.5871,0.88398,1.8308
-2.3519,-1.0862,1.1101,-2.4493,1.0071,1.829
-2.3895,-1.0313,1.0775,-2.346,1.0957,1.8279
-2.4282,-0.99291,1.0496,-2.2897,1.1381,1.8279
-2.4823,-0.96981,1.0193,-2.2659,1.1374,1.8287
-2.5603,-0.95606,0.97957,-2.2638,1.1035,1.8306
-2.6653,-0.94657,0.92659,-2.2812,1.045,1.8338
-2.7955,-0.93959,0.86168,-2.3161,0.9696,1.8384
-2.9492,-0.92748,0.78483,-2.3589,0.89422,1.8441
-3.1246,-0.90159,0.69249,-2.3927,0.8333,1.8505
-3.3208,-0.85182,0.57791,-2.3936,0.79987,1.8575
-3.5199,-0.77221,0.44471,-2.3449,0.80877,1.8646
-3.6868,-0.66377,0.30926,-2.2367,0.87237,1.8705
-3.7844,-0.54026,0.19798,-2.0784,0.98755,1.8737
-3.8073,-0.41854,0.12326,-1.8945,1.131,1.8738
-3.7796,-0.31455,0.081982,-1.7156,1.2676,1.8717
-3.7285,-0.24842,0.070761,-1.5779,1.3635,1.8682
-3.6775,-0.2305,0.082337,-1.5053,1.3946,1.8644
-3.6375,-0.24051,0.10076,-1.4827,1.3788,1.8614
-3.6141,-0.24931,0.10877,-1.4775,1.3451,1.8599
-3.6098,-0.23584,0.0962,-1.4615,1.3166,1.8598
-3.6219,-0.18843,0.061838,-1.4161,1.3137,1.8608
-3.6372,-0.11313,0.015182,-1.333,1.3451,1.8619
-3.6365,-0.024431,-0.030084,-1.2137,1.4074,1.8619
-3.6102,0.074123,-0.070287,-1.0605,1.4934,1.8604
-3.5586,0.17913,-0.10578,-0.88649,1.5871,1.8578
-3.4944,0.28441,-0.13952,-0.71573,1.6675,1.8552
-3.4338,0.3759,-0.17119,-0.57765,1.716,1.8533
-3.3842,0.43959,-0.19774,-0.48471,1.727,1.8523
-3.3483,0.47684,-0.21842,-0.43183,1.7068,1.8519
-3.3259,0.50215,-0.23755,-0.39992,1.667,1.8519
-3.3152,0.51991,-0.25516,-0.3843,1.6168,1.8523
-3.3129,0.53175,-0.26975,-0.38733,1.5649,1.8532
-3.3205,0.52542,-0.2804,-0.41935,1.5016,1.8544
-3.343,0.49796,-0.28862,-0.4855,1.4209,1.8563
-3.3831,0.45138,-0.29506,-0.5796,1.3249,1.8587
-3.4379,0.39598,-0.30292,-0.68711,1.222,1.8614
-3.5032,0.34822,-0.31859,-0.79323,1.1186,1.8647
-3.5717,0.30959,-0.34234,-0.88465,1.0161,1.8682
-3.637,0.27953,-0.36923,-0.95779,0.92017,1.8712
-3.7007,0.25468,-0.39787,-1.0206,0.82698,1.8739
-3.7676,0.23775,-0.43199,-1.0782,0.73615,1.8766
-3.8405,0.23108,-0.47098,-1.1365,0.64858,1.8796
-3.9253,0.23382,-0.51893,-1.1959,0.55507,1.8832
-4.0329,0.25145,-0.58856,-1.2557,0.44621,1.8885
-4.1729,0.29182,-0.69353,-1.3203,0.32038,1.8966
-4.3393,0.3552,-0.83387,-1.3873,0.19037,1.9078
-4.509,0.44156,-0.9928,-1.4414,0.08386,1.9203
-4.6603,0.53864,-1.1517,-1.4581,0.019484,1.9319
-4.7717,0.64266,-1.296,-1.4165,0.01554,1.941
-4.8356,0.75975,-1.4284,-1.3113,0.069941,1.9477
-4.8521,0.89282,-1.5536,-1.1488,0.16487,1.9526
-4.8245,1.0363,-1.6647,-0.95985,0.27362,1.9558
-4.7598,1.1867,-1.756,-0.77913,0.37838,1.9581
-4.6659,1.3468,-1.8357,-0.60957,0.47424,1.96
-4.55,1.5146,-1.9154,-0.43618,0.56036,1.9618
-4.424,1.6714,-1.9918,-0.2574,0.63369,1.9629
-4.297,1.8099,-2.0531,-0.091514,0.69579,1.963
-4.1668,1.9366,-2.0999,0.058908,0.75074,1.9623
-4.0361,2.0456,-2.135,0.19681,0.79598,1.9608
-3.9005,2.1354,-2.1661,0.33501,0.82587,1.9585
-3.7463,2.2194,-2.1999,0.48067,0.83998,1.9559
-3.5693,2.3089,-2.2354,0.61953,0.84113,1.9535
-3.3811,2.3968,-2.2691,0.73982,0.82693,1.9516
-3.1966,2.4712,-2.3004,0.84286,0.79538,1.9499
-3.0257,2.5249,-2.3291,0.93415,0.74751,1.9482
-2.8808,2.5626,-2.3522,0.99989,0.69514,1.9469
-2.7646,2.5919,-2.3686,1.0383,0.65156,1.946
-2.6607,2.621,-2.3807,1.0682,0.62445,1.9451
-2.5477,2.6576,-2.394,1.1067,0.60783,1.9442
-2.4316,2.6958,-2.4085,1.1543,0.59308,1.9431
-2.3365,2.7213,-2.4202,1.2028,0.57445,1.9418
-2.2772,2.7263,-2.4256,1.2437,0.5524,1.9403
-2.2438,2.7208,-2.4257,1.2707,0.53376,1.939
-2.2127,2.7172,-2.4252,1.2922,0.5209,1.9379
-2.1832,2.7146,-2.4251,1.307,0.51055,1.9368
-2.1554,2.7097,-2.4242,1.3148,0.49788,1.9358
-2.1249,2.7015,-2.4212,1.3175,0.47701,1.9347
-2.0872,2.6935,-2.4179,1.3162,0.44495,1.9337
-2.0516,2.6856,-2.4144,1.3094,0.40548,1.9329
-2.0129,2.6809,-2.4136,1.3,0.36189,1.9324
-1.9633,2.685,-2.4161,1.2876,0.32535,1.9324
-1.9039,2.6975,-2.4205,1.2796,0.29941,1.9326
-1.8342,2.7147,-2.4269,1.2823,0.27717,1.9327
-1.7817,2.7242,-2.4324,1.2892,0.2528,1.9325
-1.7664,2.716,-2.434,1.2958,0.22026,1.9318
-1.7773,2.6959,-2.4336,1.2833,0.17606,1.9316
-1.8069,2.6658,-2.4325,1.2506,0.11818,1.932
-1.8469,2.63,-2.4324,1.2037,0.050423,1.9328
-1.8923,2.5943,-2.4335,1.1428,-0.016893,1.9341
-1.9377,2.5647,-2.4346,1.0739,-0.071715,1.9359
-1.9841,2.5408,-2.4363,1.0054,-0.1145,1.9377
-2.0185,2.527,-2.4413,0.94295,-0.15212,1.9397
-2.0342,2.5218,-2.4508,0.89751,-0.18731,1.9415
-2.0275,2.5236,-2.4628,0.8808,-0.21384,1.9425
-2.0046,2.531,-2.4684,0.90222,-0.20994,1.9421
-1.9658,2.5458,-2.4642,0.95912,-0.17102,1.9401
-1.9127,2.5662,-2.4532,1.0405,-0.10907,1.9371
-1.8523,2.5881,-2.4397,1.1326,-0.037816,1.9337
-1.7832,2.6143,-2.4267,1.2188,0.031964,1.9307
-1.7147,2.6448,-2.4148,1.2875,0.097595,1.9282
-1.6603,2.6741,-2.4036,1.3392,0.15698,1.9263
-1.6133,2.6995,-2.3914,1.3872,0.20922,1.9242
-1.5529,2.7243,-2.3783,1.4419,0.25341,1.9215
-1.4613,2.7512,-2.3634,1.5091,0.28638,1.9181
-1.3331,2.7811,-2.3465,1.5826,0.30399,1.9141
-1.1756,2.813,-2.3306,1.6508,0.30317,1.91
-1.0139,2.8405,-2.3168,1.7033,0.28459,1.9065
-0.87289,2.8567,-2.3048,1.7431,0.25224,1.9033
-0.75809,2.8641,-2.2977,1.7667,0.20951,1.9008
-0.66258,2.8692,-2.296,1.7743,0.16457,1.8991
-0.58096,2.8744,-2.2979,1.7759,0.12452,1.898
-0.50732,2.8792,-2.3025,1.7812,0.094037,1.8971
-0.43069,2.8845,-2.3086,1.7904,0.074915,1.8962
-0.34054,2.8918,-2.3141,1.7959,0.068986,1.8954
-0.2172,2.9012,-2.3151,1.7981,0.073442,1.8943
-0.053674,2.9071,-2.3091,1.808,0.073394,1.8921
0.13034,2.9009,-2.2964,1.8324,0.049337,1.8887
0.33018,2.8814,-2.2812,1.8534,-0.010265,1.8848
0.53127,2.8502,-2.2678,1.8535,-0.10445,1.8814
0.71902,2.8144,-2.2613,1.8253,-0.22105,1.8792
0.88673,2.7862,-2.2623,1.7816,-0.33295,1.8782
1.0012,2.7731,-2.2711,1.733,-0.4137,1.8787
1.0082,2.7698,-2.2832,1.6871,-0.44367,1.8807
0.81502,2.7541,-2.2893,1.6424,-0.40613,1.8843
0.3315,2.6853,-2.2755,1.5634,-0.28127,1.8901
-0.48506,2.5016,-2.2248,1.3885,-0.074713,1.8979
-1.5504,2.1396,-2.1205,1.0549,0.16366,1.9061
-2.6602,1.582,-1.9508,0.54283,0.37038,1.9118
-3.5552,0.88392,-1.7137,-0.10218,0.49894,1.9118
-4.0397,0.14305,-1.4005,-0.81112,0.5668,1.9044
-3.9983,-0.50701,-1.0063,-1.5077,0.60761,1.8897
-3.4102,-0.95691,-0.52999,-2.1347,0.64313,1.8696
-2.3537,-1.1222,0.016502,-2.6431,0.67173,1.8476
-1.0221,-0.96983,0.6015,-3.0041,0.66974,1.8289
0.31729,-0.5391,1.1735,-3.2181,0.62341,1.8193
1.491,0.10003,1.7067,-3.3067,0.4996,1.8216
2.4071,0.84483,2.1788,-3.266,0.29563,1.8339
3.0668,1.6297,2.5866,-3.0415,0.054632,1.8512
