"V1","V2","V3","V4","V5","V6"
0.87408,-3.4383,0.99208,-1.2247,0.1159,-2.4566
0.90702,-3.3989,0.98683,-1.2086,0.10416,-2.4568
0.91973,-3.3686,0.9822,-1.1996,0.090058,-2.4565
0.88994,-3.3541,0.97115,-1.2096,0.061519,-2.4551
0.79321,-3.3607,0.94843,-1.2537,0.0063456,-2.4518
0.61508,-3.3868,0.91148,-1.3349,-0.072639,-2.4461
0.35703,-3.4264,0.86082,-1.4413,-0.1603,-2.438
0.039071,-3.4719,0.80292,-1.5569,-0.24014,-2.428
-0.32417,-3.5156,0.73898,-1.6758,-0.31124,-2.4166
-0.71024,-3.55,0.67488,-1.7866,-0.37044,-2.4046
-1.0858,-3.5681,0.61745,-1.8711,-0.41186,-2.3929
-1.4425,-3.5638,0.56898,-1.9167,-0.42396,-2.382
-1.7729,-3.5297,0.52486,-1.9139,-0.39319,-2.3724
-2.0712,-3.4612,0.48187,-1.856,-0.31333,-2.3642
-2.3409,-3.3594,0.43722,-1.7484,-0.18825,-2.3573
-2.5833,-3.2278,0.39227,-1.5982,-0.023816,-2.3514
-2.7587,-3.0807,0.35655,-1.4163,0.15816,-2.3477
-2.855,-2.9308,0.33236,-1.2195,0.33854,-2.3464
-2.8948,-2.7897,0.31689,-1.0304,0.49987,-2.3464
-2.9101,-2.6642,0.30241,-0.86522,0.62948,-2.3467
-2.916,-2.5691,0.28401,-0.74498,0.70714,-2.3468
-2.9225,-2.5115,0.26605,-0.67768,0.72056,-2.3467
-2.944,-2.4829,0.25614,-0.65352,0.67718,-2.3459
-3,-2.4591,0.25117,-0.64936,0.59723,-2.3439
-3.1049,-2.4194,0.24683,-0.64806,0.49605,-2.3398
-3.2503,-2.3629,0.2385,-0.65278,0.38202,-2.3339
-3.4296,-2.2875,0.21503,-0.66428,0.27082,-2.3259
-3.6334,-2.1906,0.17104,-0.67609,0.17537,-2.316
-3.8437,-2.0748,0.11349,-0.68052,0.1066,-2.3051
-4.0399,-1.9469,0.051176,-0.66761,0.072707,-2.2944
-4.2018,-1.8074,-0.0059386,-0.62222,0.080176,-2.2852
-4.3259,-1.6495,-0.05148,-0.53977,0.12453,-2.2778
-4.4167,-1.4813,-0.085938,-0.43703,0.18336,-2.272
-4.4951,-1.3041,-0.12619,-0.33479,0.23474,-2.2662
-4.576,-1.1123,-0.17592,-0.2421,0.26031,-2.2594
-4.6511,-0.9204,-0.22507,-0.16687,0.25744,-2.252
-4.7142,-0.73441,-0.27345,-0.1086,0.23758,-2.2444
-4.7614,-0.54648,-0.32799,-0.053826,0.22076,-2.2366
-4.7827,-0.34178,-0.39295,0.022585,0.23385,-2.2291
-4.7639,-0.1136,-0.46111,0.14396,0.29226,-2.2229
-4.7064,0.12424,-0.52415,0.30194,0.37867,-2.2186
-4.6241,0.35465,-0.58087,0.47147,0.4678,-2.2156
-4.5394,0.55011,-0.62532,0.61111,0.52732,-2.2133
-4.4758,0.6973,-0.65867,0.69231,0.53423,-2.211
-4.4457,0.79674,-0.68095,0.70282,0.48503,-2.2078
-4.4503,0.84731,-0.6912,0.65042,0.39449,-2.2042
-4.4839,0.85905,-0.69332,0.55412,0.28228,-2.2004
-4.5356,0.84937,-0.69103,0.43372,0.16847,-2.1963
-4.5878,0.85669,-0.69689,0.31659,0.064148,-2.1915
-4.6223,0.91306,-0.72551,0.23452,-0.019442,-2.1857
-4.6169,1.03,-0.77707,0.21657,-0.063418,-2.1798
-4.5407,1.2068,-0.83423,0.285,-0.043804,-2.1756
-4.3705,1.4456,-0.88448,0.44307,0.042945,-2.1741
-4.1097,1.738,-0.92592,0.67537,0.17194,-2.1752
-3.8004,2.0451,-0.96173,0.94169,0.31145,-2.1779
-3.5179,2.3001,-0.98391,1.1746,0.43054,-2.1812
-3.2909,2.4858,-0.99132,1.3436,0.5201,-2.1844
-3.1195,2.6114,-0.98907,1.4491,0.58109,-2.187
-2.9888,2.6962,-0.98374,1.5044,0.61547,-2.1888
-2.881,2.7621,-0.98209,1.5199,0.6189,-2.1895
-2.7786,2.8202,-0.9892,1.5111,0.58489,-2.1892
-2.6722,2.8737,-1.0093,1.4871,0.50759,-2.1881
-2.5772,2.9132,-1.0433,1.4469,0.38895,-2.186
-2.52,2.9283,-1.0844,1.3844,0.24791,-2.1827
-2.4985,2.9233,-1.1215,1.3166,0.12109,-2.1794
-2.5006,2.906,-1.1443,1.2635,0.040197,-2.1771
-2.5053,2.8892,-1.146,1.2438,0.023899,-2.1765
