"V1","V2","V3","V4","V5","V6"
4.2921,-2.4996,3.2686,-1.3467,-1.1062,-2.2463
3.9024,-2.6834,3.3413,-1.4654,-0.96944,-2.2488
3.5027,-2.8608,3.4141,-1.5777,-0.82708,-2.2514
3.0784,-3.0267,3.4833,-1.6813,-0.67844,-2.2535
2.6225,-3.1776,3.5452,-1.7761,-0.53139,-2.2549
2.1573,-3.3033,3.5931,-1.8512,-0.39886,-2.2555
1.6955,-3.397,3.6261,-1.9026,-0.28097,-2.2554
1.2286,-3.4587,3.6435,-1.9366,-0.17554,-2.2543
0.74086,-3.488,3.6429,-1.9602,-0.080079,-2.2519
0.24053,-3.4799,3.6225,-1.9679,0.011408,-2.2481
-0.26957,-3.4279,3.5811,-1.9516,0.10861,-2.243
-0.78067,-3.3269,3.5212,-1.9057,0.22059,-2.237
-1.2886,-3.1754,3.4452,-1.822,0.35593,-2.2303
-1.7715,-2.9817,3.3606,-1.6982,0.50869,-2.2241
-2.1938,-2.7699,3.2776,-1.5512,0.64797,-2.2191
-2.5622,-2.5495,3.1981,-1.4028,0.7474,-2.2151
-2.8962,-2.3233,3.1209,-1.272,0.79073,-2.2114
-3.2102,-2.091,3.0446,-1.1657,0.77558,-2.2075
-3.5075,-1.85,2.9634,-1.0778,0.7203,-2.2031
-3.7891,-1.5964,2.8683,-0.99489,0.65476,-2.1977
-4.04,-1.3384,2.7606,-0.90745,0.59567,-2.1917
-4.2436,-1.0801,2.6478,-0.81045,0.55915,-2.1858
-4.4025,-0.8129,2.5349,-0.70042,0.54524,-2.1806
-4.5223,-0.53455,2.4218,-0.57825,0.54614,-2.1764
-4.6136,-0.23527,2.3021,-0.44963,0.55411,-2.1723
-4.6879,0.083604,2.1705,-0.32662,0.55399,-2.1675
-4.7512,0.40688,2.0245,-0.21913,0.53334,-2.1621
-4.7988,0.72122,1.8655,-0.12534,0.49648,-2.1562
-4.8255,1.0259,1.6979,-0.041469,0.44715,-2.1502
-4.8291,1.3314,1.5272,0.031559,0.38636,-2.1443
-4.8051,1.6384,1.3622,0.09673,0.3296,-2.1389
-4.7542,1.9281,1.213,0.15556,0.28791,-2.1345
-4.6796,2.1937,1.0844,0.19575,0.25781,-2.1315
-4.5761,2.4412,0.97441,0.22331,0.23846,-2.1297
-4.4268,2.6937,0.86796,0.26444,0.23628,-2.1291
-4.2293,2.9499,0.7578,0.33134,0.24699,-2.1298
-3.9827,3.2068,0.63771,0.42625,0.26109,-2.1317
-3.6994,3.4573,0.50735,0.53812,0.26677,-2.1342
-3.4122,3.6808,0.38059,0.62073,0.25453,-2.1365
-3.137,3.8716,0.26338,0.64746,0.22604,-2.1379
-2.8679,4.0388,0.15529,0.62957,0.19593,-2.1386
-2.6145,4.1768,0.061124,0.59694,0.1761,-2.1394
-2.3816,4.2832,-0.014146,0.58333,0.17632,-2.1416
-2.1658,4.3596,-0.064589,0.60772,0.19951,-2.1454
-1.955,4.4123,-0.092287,0.6668,0.23787,-2.1506
-1.7213,4.4551,-0.11177,0.74984,0.27535,-2.157
-1.4642,4.4911,-0.13401,0.83259,0.29221,-2.1639
-1.1827,4.5217,-0.16844,0.88895,0.27139,-2.1707
-0.89339,4.5425,-0.2141,0.90831,0.20994,-2.1766
-0.62338,4.5478,-0.26321,0.8991,0.11821,-2.1816
