"V1","V2","V3","V4","V5","V6"
0.66105,3.0101,-0.80789,2.7237,-0.24238,6.4268
1.3673,2.9173,-0.6341,2.6462,-0.31058,6.4071
2.1568,2.8192,-0.42671,2.5307,-0.36116,6.386
2.9862,2.6816,-0.18096,2.3939,-0.39272,6.3624
3.771,2.4823,0.086771,2.2056,-0.39996,6.3386
4.4528,2.1881,0.35727,1.9432,-0.41664,6.3154
4.9897,1.7639,0.61072,1.6361,-0.49983,6.2914
5.3765,1.2104,0.84775,1.2977,-0.6386,6.2664
5.6177,0.58953,1.0755,0.9352,-0.75193,6.2427
5.7178,-0.045897,1.3008,0.58623,-0.80469,6.2209
5.6794,-0.66983,1.531,0.27444,-0.80603,6.2004
5.5001,-1.2701,1.7631,-0.0027036,-0.76721,6.1818
5.1662,-1.8337,1.9805,-0.25794,-0.70483,6.1669
4.6693,-2.3568,2.1708,-0.49657,-0.6239,6.1563
4.0313,-2.8236,2.3329,-0.71291,-0.52803,6.15
3.3016,-3.2071,2.4593,-0.88998,-0.43194,6.1476
2.5229,-3.4926,2.5428,-1.0244,-0.35424,6.1492
1.7292,-3.6771,2.5809,-1.1226,-0.30793,6.1547
0.92955,-3.7648,2.58,-1.1859,-0.28059,6.1634
0.13309,-3.7584,2.5494,-1.2073,-0.25225,6.1743
-0.66194,-3.657,2.497,-1.1814,-0.21029,6.187
-1.4453,-3.458,2.4249,-1.1158,-0.15709,6.2015
-2.1961,-3.1584,2.3351,-1.0183,-0.10716,6.2176
-2.896,-2.7579,2.226,-0.90412,-0.079056,6.2353
-3.5403,-2.2503,2.0974,-0.78786,-0.081798,6.2549
-4.0924,-1.6432,1.9555,-0.67711,-0.1,6.2756
-4.5071,-0.95106,1.802,-0.55697,-0.084063,6.2957
-4.7459,-0.21541,1.6351,-0.40277,0.0019139,6.313
-4.8088,0.5206,1.4599,-0.21416,0.13898,6.326
-4.7282,1.193,1.2812,-0.014097,0.27246,6.3347
-4.5417,1.7812,1.0979,0.17611,0.36674,6.3399
-4.2755,2.2836,0.91019,0.34121,0.41452,6.3425
-3.9199,2.7318,0.71411,0.48408,0.42424,6.3428
-3.4426,3.1687,0.50496,0.62289,0.41232,6.3403
-2.8451,3.5838,0.30042,0.76728,0.39399,6.3343
-2.1649,3.9422,0.11804,0.91163,0.36411,6.3248
-1.467,4.2033,-0.023464,1.0342,0.31731,6.3128
-0.78231,4.3577,-0.12629,1.1111,0.25593,6.2992
-0.098336,4.4212,-0.21044,1.1329,0.19407,6.2838
0.60162,4.4047,-0.28927,1.1107,0.14232,6.2655
1.3134,4.3087,-0.35448,1.0463,0.11026,6.2445
2.0359,4.1163,-0.39353,0.94666,0.072911,6.2206
2.7557,3.8151,-0.40367,0.80856,0.012039,6.1941
3.4558,3.4181,-0.38051,0.6637,-0.05216,6.1651
4.1008,2.9666,-0.31876,0.56165,-0.075353,6.1339
4.6899,2.473,-0.20927,0.51356,-0.050157,6.1002
5.2004,1.9469,-0.056491,0.49465,-0.0098124,6.0654
5.5812,1.3905,0.11646,0.44979,-0.01319,6.0328
5.7908,0.79592,0.28729,0.32404,-0.10255,6.005
5.8103,0.17817,0.44619,0.097319,-0.27795,5.984
5.6528,-0.43468,0.58583,-0.20221,-0.49149,5.9698
5.3566,-1.0091,0.70093,-0.52403,-0.67464,5.9613
4.9553,-1.5214,0.78621,-0.83552,-0.7943,5.9576
4.4777,-1.9472,0.83123,-1.1174,-0.84906,5.9587
3.934,-2.2921,0.83325,-1.3677,-0.85534,5.9641
3.3388,-2.5647,0.80083,-1.5884,-0.82635,5.9727
2.6945,-2.7836,0.74511,-1.7821,-0.77136,5.9837
2.0173,-2.9588,0.67777,-1.9458,-0.7048,5.9961
1.3226,-3.1006,0.60588,-2.0745,-0.63178,6.0093
0.59265,-3.2262,0.52847,-2.1757,-0.55907,6.0238
-0.15307,-3.3269,0.44139,-2.242,-0.49134,6.0395
-0.90016,-3.3836,0.34164,-2.2658,-0.42351,6.0566
-1.6275,-3.3803,0.2334,-2.2432,-0.35354,6.0747
-2.3002,-3.3069,0.12852,-2.1625,-0.27784,6.0926
-2.8996,-3.1567,0.031495,-2.0174,-0.18251,6.1099
-3.4261,-2.9244,-0.053705,-1.8022,-0.061849,6.1262
-3.8691,-2.6158,-0.12774,-1.5243,0.07065,6.1408
-4.2493,-2.2396,-0.20036,-1.2103,0.19898,6.1551
-4.5755,-1.8315,-0.28802,-0.92237,0.28794,6.1703
-4.8682,-1.4066,-0.39533,-0.70751,0.31515,6.1881
-5.1404,-0.97876,-0.52537,-0.57444,0.2793,6.2088
-5.3813,-0.5688,-0.68948,-0.48141,0.20596,6.2303
-5.5656,-0.17157,-0.88671,-0.37265,0.13075,6.2505
-5.6517,0.23304,-1.0997,-0.20261,0.091872,6.2672
-5.6064,0.67107,-1.3137,0.0417,0.10218,6.2803
-5.4092,1.159,-1.5176,0.33373,0.14753,6.2907
-5.0541,1.7023,-1.6975,0.61279,0.20104,6.3003
-4.5617,2.2573,-1.8576,0.84001,0.22917,6.3094
