"V1","V2","V3","V4","V5","V6"
-2.5322,-1.9366,-2.5234,-2.6334,1.201,1.5748
-2.5447,-1.896,-2.5286,-2.616,1.2322,1.5767
-2.555,-1.8658,-2.5326,-2.6008,1.2616,1.5781
-2.5562,-1.8599,-2.5304,-2.5906,1.2745,1.5777
-2.546,-1.8821,-2.5181,-2.5901,1.261,1.5756
-2.5284,-1.9261,-2.4957,-2.6043,1.2208,1.5725
-2.5135,-1.9821,-2.4705,-2.6275,1.1661,1.5692
-2.5084,-2.0416,-2.4502,-2.6537,1.1071,1.5664
-2.5102,-2.0998,-2.4344,-2.6761,1.0489,1.5638
-2.5215,-2.1569,-2.4233,-2.6886,0.99293,1.5615
-2.5437,-2.211,-2.4134,-2.6941,0.94333,1.5598
-2.5823,-2.2625,-2.4066,-2.6907,0.90201,1.559
-2.6367,-2.3086,-2.406,-2.6825,0.86873,1.5592
-2.7088,-2.3444,-2.4158,-2.6756,0.84161,1.5607
-2.8107,-2.3722,-2.4395,-2.6586,0.81828,1.5638
-2.9463,-2.392,-2.4777,-2.6204,0.80402,1.5684
-3.1146,-2.3983,-2.5332,-2.5612,0.80945,1.5747
-3.2983,-2.3824,-2.6021,-2.4873,0.84505,1.5826
-3.4579,-2.3398,-2.6699,-2.4013,0.91541,1.5906
-3.5711,-2.2776,-2.7265,-2.3113,1.0111,1.5971
-3.6278,-2.2122,-2.7629,-2.2269,1.1103,1.6012
-3.6341,-2.1557,-2.7763,-2.1425,1.1992,1.6022
-3.6172,-2.1099,-2.7747,-2.0416,1.2771,1.6011
-3.5953,-2.0686,-2.7657,-1.9173,1.3524,1.5988
-3.5779,-2.0253,-2.7549,-1.7702,1.427,1.5963
-3.5796,-1.9788,-2.748,-1.5959,1.4929,1.5944
-3.6133,-1.9328,-2.7495,-1.4063,1.5325,1.5938
-3.6744,-1.8936,-2.7566,-1.2374,1.5331,1.5949
-3.7502,-1.8595,-2.7691,-1.1097,1.5014,1.5976
-3.8381,-1.8286,-2.7867,-1.0123,1.445,1.6016
-3.9316,-1.8011,-2.8073,-0.9478,1.3732,1.6064
-4.0314,-1.7777,-2.8318,-0.91537,1.2854,1.6121
-4.132,-1.7702,-2.8564,-0.92684,1.1815,1.618
-4.2328,-1.7803,-2.875,-0.97404,1.0676,1.6237
-4.3324,-1.7971,-2.8853,-1.0311,0.95517,1.6292
-4.4318,-1.8129,-2.8952,-1.0884,0.848,1.6346
-4.5457,-1.8165,-2.9193,-1.1449,0.73886,1.6414
-4.6902,-1.7982,-2.9702,-1.2034,0.61992,1.6511
-4.8748,-1.7556,-3.0545,-1.2641,0.48365,1.6644
-5.0903,-1.6932,-3.1659,-1.3252,0.33733,1.6808
-5.3038,-1.6193,-3.2804,-1.374,0.20374,1.6976
-5.4721,-1.5401,-3.3647,-1.3846,0.11023,1.7115
-5.6007,-1.4538,-3.4221,-1.356,0.046925,1.7228
-5.689,-1.3677,-3.462,-1.3028,0.013276,1.7315
-5.7535,-1.2809,-3.5059,-1.2364,0.002583,1.7388
-5.7964,-1.1908,-3.5558,-1.1561,0.021705,1.745
-5.8119,-1.1005,-3.6008,-1.064,0.074653,1.7495
-5.8026,-1.0174,-3.6332,-0.96999,0.14971,1.7523
-5.7754,-0.94359,-3.6511,-0.878,0.23291,1.7534
-5.7359,-0.87929,-3.6578,-0.79045,0.31424,1.7534
-5.6893,-0.82696,-3.658,-0.71512,0.38921,1.7525
-5.6395,-0.78215,-3.6558,-0.64822,0.45556,1.7511
-5.5872,-0.74566,-3.6504,-0.58436,0.51893,1.7493
-5.531,-0.71038,-3.6381,-0.51359,0.58337,1.747
-5.4716,-0.66812,-3.6226,-0.42747,0.64568,1.7449
-5.4105,-0.61698,-3.6113,-0.32718,0.70208,1.7433
