"V1","V2","V3","V4","V5","V6"
1.2067,2.8062,-0.18935,0.24821,2.593,3.2248
1.3576,2.8201,-0.13841,0.3161,2.5808,3.2188
1.5061,2.8308,-0.089922,0.38428,2.5725,3.2126
1.6603,2.8353,-0.044013,0.46254,2.571,3.2053
1.8211,2.8272,-0.0059172,0.55698,2.5748,3.1965
1.9726,2.806,0.021782,0.65448,2.5799,3.187
2.1057,2.7654,0.030936,0.75229,2.5762,3.1772
2.2094,2.6992,0.014331,0.8462,2.5516,3.1674
2.2976,2.6204,-0.0080828,0.92159,2.5053,3.1583
2.38,2.5423,-0.018624,0.96043,2.4391,3.1508
2.4563,2.4684,-0.015364,0.9588,2.3552,3.1453
2.5012,2.3903,-0.020512,0.92717,2.2614,3.1417
2.4878,2.3063,-0.053624,0.8768,2.1687,3.1406
2.4273,2.2284,-0.10118,0.80461,2.0785,3.1421
2.3377,2.1691,-0.1448,0.70651,1.9959,3.1461
2.2588,2.1279,-0.1718,0.60884,1.9251,3.1505
2.2571,2.0979,-0.17022,0.57304,1.8762,3.1507
2.3689,2.0696,-0.13443,0.63192,1.8521,3.1441
2.5885,2.0279,-0.071753,0.78005,1.8388,3.1305
2.855,1.9683,-0.0017964,0.96765,1.814,3.1131
3.1158,1.8946,0.063667,1.1454,1.7673,3.0956
3.339,1.8094,0.11801,1.2841,1.6961,3.0801
3.4984,1.7133,0.15093,1.3674,1.6008,3.0681
3.5758,1.6179,0.15666,1.388,1.4945,3.0609
3.5732,1.5372,0.13916,1.3469,1.3898,3.0589
3.5119,1.4775,0.10776,1.2615,1.292,3.0609
3.4202,1.4361,0.074396,1.1487,1.2021,3.0654
3.3324,1.3972,0.049441,1.033,1.1144,3.07
3.2603,1.3439,0.027725,0.93614,1.0221,3.073
3.2053,1.2757,0.00017219,0.87495,0.93292,3.0738
3.1623,1.2192,-0.033646,0.85825,0.87838,3.0736
3.1284,1.2038,-0.064491,0.88001,0.88473,3.0736
3.1142,1.2244,-0.081453,0.92671,0.93886,3.0736
3.1465,1.2581,-0.069063,0.98591,1.0123,3.0721
3.2427,1.2792,-0.01854,1.047,1.0745,3.0678
3.3796,1.2795,0.057916,1.1009,1.1103,3.0612
3.5221,1.253,0.13708,1.1462,1.1108,3.0533
3.6283,1.2095,0.1967,1.1654,1.0791,3.0468
3.6685,1.1568,0.22124,1.1416,1.0197,3.0435
3.6224,1.0975,0.20241,1.0623,0.93123,3.0448
3.503,1.0233,0.15114,0.92489,0.80546,3.0499
3.3532,0.92235,0.092938,0.74263,0.64364,3.0564
3.2124,0.81028,0.049183,0.54602,0.47664,3.0625
3.0957,0.70381,0.023914,0.3584,0.33,3.0678
3.0029,0.61372,0.012835,0.19572,0.21713,3.0722
2.9236,0.53275,0.0080518,0.059763,0.13112,3.0756
2.8464,0.45229,0.0031281,-0.056254,0.057665,3.0781
2.7609,0.36203,-0.0084798,-0.16193,-0.020258,3.08
2.6652,0.25867,-0.029306,-0.26195,-0.1089,3.0815
2.5684,0.15694,-0.051529,-0.36217,-0.19794,3.0831
2.4819,0.071143,-0.067784,-0.45967,-0.27426,3.085
2.4094,-0.0012206,-0.079786,-0.5442,-0.33656,3.0868
2.3472,-0.07561,-0.091282,-0.61329,-0.39271,3.0877
2.2908,-0.14965,-0.099433,-0.67962,-0.44377,3.0884
2.2393,-0.21169,-0.10387,-0.7465,-0.48464,3.0895
2.1904,-0.25956,-0.10625,-0.81402,-0.51441,3.0911
2.1392,-0.30119,-0.11016,-0.87918,-0.54014,3.0929
2.0829,-0.34414,-0.11703,-0.93968,-0.56615,3.0946
2.028,-0.38571,-0.125,-0.98575,-0.58527,3.0959
1.9882,-0.41328,-0.1291,-1.0052,-0.58121,3.0963
1.9781,-0.41311,-0.12091,-0.99484,-0.53611,3.0958
2.0121,-0.37874,-0.096749,-0.93966,-0.44129,3.0937
2.0931,-0.32052,-0.058542,-0.82769,-0.30232,3.0893
2.2024,-0.25894,-0.013747,-0.6806,-0.14631,3.0832
2.3054,-0.21067,0.025468,-0.54701,-0.014761,3.0775
2.3823,-0.18312,0.052462,-0.44994,0.073415,3.0733
2.4313,-0.17631,0.067293,-0.38822,0.12287,3.0703
2.4618,-0.1856,0.07588,-0.35073,0.15106,3.0681
2.4841,-0.20063,0.082475,-0.32538,0.17516,3.0664
2.5016,-0.21974,0.084982,-0.30303,0.19803,3.0649
2.5164,-0.23526,0.08679,-0.2917,0.21778,3.0641
2.5226,-0.25024,0.086575,-0.30302,0.22233,3.0641
2.5172,-0.27462,0.081742,-0.33217,0.20519,3.0646
2.5001,-0.32096,0.075283,-0.37582,0.16513,3.0648
2.474,-0.37978,0.071463,-0.4382,0.10927,3.0651
2.4351,-0.45111,0.069738,-0.51683,0.0406,3.0655
2.3764,-0.53773,0.068021,-0.60729,-0.038592,3.0662
2.2927,-0.63664,0.065913,-0.71419,-0.12531,3.0675
2.1802,-0.74887,0.060697,-0.83901,-0.21728,3.0697
2.0476,-0.86283,0.052111,-0.97888,-0.30647,3.073
1.9058,-0.97028,0.036801,-1.1222,-0.39301,3.077
1.7557,-1.0713,0.011367,-1.2655,-0.4829,3.0818
1.5922,-1.1711,-0.024642,-1.4084,-0.57694,3.0873
1.4108,-1.2706,-0.068577,-1.5533,-0.66615,3.0934
1.1998,-1.3752,-0.11823,-1.7051,-0.74525,3.1006
0.95449,-1.4884,-0.17067,-1.8666,-0.8072,3.1086
0.71693,-1.5892,-0.21641,-2.0056,-0.83272,3.1163
0.5508,-1.6484,-0.24463,-2.0732,-0.80558,3.1212
0.48485,-1.6539,-0.25035,-2.0437,-0.71834,3.1221
0.51409,-1.6111,-0.23359,-1.9198,-0.57537,3.119
0.62536,-1.5298,-0.19873,-1.7212,-0.39669,3.1125
0.77309,-1.4329,-0.15655,-1.4984,-0.2191,3.1045
0.9204,-1.3381,-0.11502,-1.2921,-0.066666,3.0968
1.0425,-1.2607,-0.078722,-1.1259,0.051967,3.0904
1.1334,-1.2059,-0.048731,-1.0048,0.13978,3.0857
1.2032,-1.1679,-0.025963,-0.91858,0.20105,3.0822
1.2729,-1.1336,-0.0092348,-0.84342,0.24844,3.0792
1.3575,-1.0939,0.0057015,-0.75878,0.29739,3.0758
1.4639,-1.0448,0.025378,-0.65271,0.36276,3.0715
