"V1","V2","V3","V4","V5","V6"
1.1764,-3.831,0.15924,-0.64738,-0.40481,-2.6746
0.69817,-3.8892,0.20131,-0.73884,-0.3926,-2.6632
0.24879,-3.9258,0.24475,-0.79103,-0.37136,-2.6527
-0.20324,-3.9379,0.29487,-0.76701,-0.35883,-2.643
-0.68374,-3.9235,0.35616,-0.66447,-0.36856,-2.6339
-1.1682,-3.8724,0.42505,-0.5316,-0.37984,-2.6242
-1.6119,-3.7828,0.49207,-0.40483,-0.38822,-2.6141
-2.0071,-3.6552,0.54718,-0.29982,-0.39793,-2.6031
-2.3764,-3.4836,0.58738,-0.21546,-0.41177,-2.5906
-2.7539,-3.2561,0.61642,-0.1402,-0.4287,-2.5757
-3.1205,-2.9807,0.63631,-0.07142,-0.4458,-2.5595
-3.4605,-2.6616,0.64675,-0.0060829,-0.45902,-2.5426
-3.7644,-2.3013,0.64572,0.06211,-0.46395,-2.5256
-4.0183,-1.9056,0.63262,0.13933,-0.45516,-2.5089
-4.2191,-1.4754,0.60261,0.22858,-0.42539,-2.4926
-4.3607,-1.0268,0.55672,0.32257,-0.3799,-2.4771
-4.4445,-0.58374,0.49873,0.41157,-0.33481,-2.463
-4.4634,-0.17221,0.44462,0.48615,-0.30079,-2.4513
-4.4047,0.22992,0.39743,0.56684,-0.25843,-2.4423
-4.263,0.64757,0.35002,0.67468,-0.19509,-2.4358
-4.0467,1.085,0.29748,0.80102,-0.11949,-2.4312
-3.7827,1.5164,0.23592,0.92104,-0.055479,-2.4277
-3.5004,1.9015,0.17177,1.0101,-0.017515,-2.425
-3.2107,2.2265,0.10958,1.0633,-0.0040742,-2.4231
-2.9106,2.501,0.046737,1.0918,-0.010177,-2.4222
-2.6005,2.7368,-0.012515,1.0974,-0.030131,-2.4223
-2.2879,2.9339,-0.067469,1.0911,-0.062569,-2.4233
-1.9875,3.0879,-0.1169,1.0771,-0.10654,-2.4248
-1.7087,3.2024,-0.16322,1.0489,-0.16238,-2.4265
-1.4513,3.2871,-0.20906,1.0033,-0.22361,-2.4281
-1.2199,3.3512,-0.25276,0.94399,-0.27504,-2.4296
-1.0181,3.4052,-0.29018,0.87861,-0.29624,-2.431
-0.84657,3.4516,-0.32034,0.81972,-0.28912,-2.4327
-0.70077,3.4835,-0.34445,0.77993,-0.27488,-2.4347
-0.58215,3.4939,-0.366,0.74924,-0.2831,-2.4366
-0.4926,3.4793,-0.39218,0.69846,-0.33694,-2.4374
-0.43608,3.4434,-0.42704,0.60495,-0.43907,-2.4366
-0.40976,3.3978,-0.46914,0.46958,-0.56162,-2.4342
-0.41001,3.3502,-0.50742,0.33304,-0.66582,-2.4313
-0.40967,3.313,-0.53339,0.23411,-0.71666,-2.4295
-0.39338,3.2924,-0.54101,0.20092,-0.70834,-2.4297
-0.3612,3.284,-0.53027,0.23445,-0.66181,-2.4318
-0.31775,3.2825,-0.50976,0.30499,-0.59917,-2.4348
-0.27835,3.2796,-0.48852,0.38174,-0.54743,-2.4378
-0.25808,3.2689,-0.4724,0.43753,-0.53075,-2.4397
-0.24845,3.2504,-0.46964,0.44972,-0.55729,-2.4402
-0.26091,3.2277,-0.47533,0.42994,-0.60425,-2.4395
-0.28603,3.2119,-0.48028,0.40535,-0.63194,-2.4385
-0.30205,3.2104,-0.47768,0.3942,-0.61719,-2.4382
-0.30609,3.2178,-0.46373,0.41508,-0.56443,-2.439
-0.30133,3.2302,-0.44263,0.46107,-0.48953,-2.4407
-0.29197,3.2472,-0.41966,0.51588,-0.40494,-2.4426
-0.25841,3.2689,-0.3986,0.57538,-0.32016,-2.4449
-0.18418,3.2949,-0.38394,0.63395,-0.2395,-2.4479
-0.084143,3.3226,-0.37605,0.67739,-0.16787,-2.451
-0.0029605,3.341,-0.37105,0.69548,-0.12617,-2.4532
0.035168,3.3398,-0.36269,0.68902,-0.13546,-2.4538
0.016015,3.3156,-0.35426,0.63825,-0.20213,-2.4522
-0.034298,3.2749,-0.35497,0.52731,-0.31116,-2.4484
-0.099048,3.2256,-0.3643,0.37939,-0.43806,-2.4435
-0.17646,3.175,-0.37285,0.24815,-0.55543,-2.4387
-0.24407,3.1327,-0.37828,0.16105,-0.63926,-2.4352
-0.28547,3.1044,-0.3777,0.13591,-0.67961,-2.4337
-0.29618,3.0928,-0.36855,0.16636,-0.67279,-2.4342
-0.28975,3.0957,-0.35127,0.23767,-0.62769,-2.4361
-0.27727,3.1102,-0.32872,0.33257,-0.55734,-2.4388
-0.26315,3.1297,-0.3049,0.43911,-0.48088,-2.4418
-0.24896,3.1488,-0.27985,0.54313,-0.41147,-2.4447
-0.23791,3.1645,-0.25415,0.62861,-0.35636,-2.447
-0.23453,3.1728,-0.22902,0.69824,-0.32201,-2.4489
-0.2333,3.1728,-0.20887,0.75399,-0.31766,-2.4506
-0.23564,3.1633,-0.2001,0.7766,-0.35454,-2.4514
-0.24564,3.144,-0.20408,0.75264,-0.4384,-2.451
-0.2664,3.1172,-0.21664,0.68365,-0.55522,-2.4491
-0.30713,3.0854,-0.23119,0.58528,-0.68165,-2.4459
-0.36644,3.0533,-0.24125,0.48385,-0.79149,-2.442
-0.43565,3.0248,-0.24902,0.38402,-0.87875,-2.4379
-0.50571,2.9966,-0.2624,0.28147,-0.95993,-2.4336
-0.56552,2.9668,-0.28567,0.17983,-1.0448,-2.4293
-0.61199,2.9436,-0.31122,0.10436,-1.111,-2.4259
-0.64019,2.9376,-0.3261,0.078921,-1.1293,-2.4243
-0.63889,2.9539,-0.3211,0.11073,-1.0852,-2.4247
-0.60046,2.9895,-0.30125,0.18296,-0.99114,-2.4269
-0.5331,3.0389,-0.27269,0.27458,-0.8657,-2.4302
-0.43799,3.0988,-0.24215,0.37398,-0.72246,-2.4344
-0.31935,3.1632,-0.21543,0.46953,-0.5757,-2.4389
-0.18874,3.224,-0.19411,0.55303,-0.43972,-2.4432
-0.052759,3.2756,-0.17844,0.61722,-0.33043,-2.4471
0.081213,3.3157,-0.16797,0.66049,-0.25761,-2.4503
0.20094,3.34,-0.16161,0.68246,-0.22814,-2.4527
0.30372,3.348,-0.15659,0.68591,-0.23608,-2.4546
0.39595,3.3457,-0.15156,0.67946,-0.26378,-2.4562
0.49617,3.3417,-0.15055,0.67001,-0.28678,-2.458
0.61449,3.3417,-0.1562,0.66296,-0.28396,-2.4607
0.77603,3.3505,-0.17292,0.64744,-0.23499,-2.4645
0.98292,3.3631,-0.20265,0.62285,-0.14431,-2.4696
1.2111,3.3701,-0.24448,0.58236,-0.029664,-2.4754
1.4575,3.3605,-0.29152,0.52701,0.091965,-2.4819
1.7239,3.3241,-0.33271,0.46765,0.19817,-2.4893
1.9957,3.2563,-0.36883,0.39286,0.27315,-2.497
2.2316,3.1621,-0.40301,0.29397,0.29728,-2.5035
2.404,3.0521,-0.43675,0.17183,0.26841,-2.508
2.5082,2.9394,-0.46742,0.036682,0.20182,-2.5103
2.553,2.836,-0.49049,-0.090049,0.10811,-2.511
2.5644,2.7367,-0.50829,-0.20957,0.0014675,-2.5109
2.5592,2.6398,-0.5255,-0.33501,-0.1035,-2.5102
2.5353,2.5575,-0.5425,-0.4596,-0.20144,-2.5086
2.493,2.4964,-0.56103,-0.56927,-0.28618,-2.5063
2.4483,2.4478,-0.58734,-0.65968,-0.34624,-2.5042
2.4096,2.3988,-0.62666,-0.73176,-0.38081,-2.5029
2.3816,2.3297,-0.68789,-0.79663,-0.3959,-2.5027
2.3633,2.2316,-0.77176,-0.86198,-0.40425,-2.5037
2.3429,2.1203,-0.86302,-0.92554,-0.42252,-2.5049
2.3118,2.0118,-0.94834,-0.98793,-0.46074,-2.5056
2.2675,1.9203,-1.0206,-1.0478,-0.51311,-2.5053
2.2161,1.8508,-1.0758,-1.1027,-0.56802,-2.5041
2.1671,1.8071,-1.1128,-1.1469,-0.60804,-2.5025
2.1254,1.7902,-1.133,-1.1736,-0.62637,-2.5009
2.0928,1.7928,-1.1363,-1.186,-0.63204,-2.4992
2.0726,1.8286,-1.1209,-1.1645,-0.6162,-2.4979
2.0655,1.9117,-1.0892,-1.0945,-0.56306,-2.4972
2.0665,2.0239,-1.0474,-0.99601,-0.48004,-2.497
2.0775,2.1461,-0.99796,-0.89289,-0.37151,-2.497
2.1021,2.2614,-0.94603,-0.8004,-0.24719,-2.4971
2.1326,2.3674,-0.89691,-0.71232,-0.12488,-2.4975
2.1648,2.4611,-0.85531,-0.6222,-0.014407,-2.4983
2.1985,2.5337,-0.8256,-0.53448,0.07508,-2.4998
2.2326,2.5846,-0.80694,-0.45568,0.14296,-2.5017
2.2657,2.616,-0.79492,-0.39333,0.18784,-2.5037
2.2937,2.6332,-0.78609,-0.34959,0.21084,-2.5053
2.3074,2.6455,-0.78063,-0.32223,0.2162,-2.5061
2.3068,2.6518,-0.77836,-0.31434,0.20009,-2.5062
2.301,2.6417,-0.77765,-0.33411,0.15315,-2.5056
2.2925,2.6118,-0.77857,-0.3839,0.076126,-2.5047
2.2693,2.5758,-0.7802,-0.45175,-0.019419,-2.503
2.2309,2.5432,-0.78,-0.52478,-0.12285,-2.5006
2.1798,2.519,-0.78056,-0.58987,-0.22201,-2.4978
2.1259,2.5003,-0.78707,-0.64308,-0.30598,-2.4953
2.0766,2.4913,-0.79913,-0.67737,-0.35997,-2.4933
2.0479,2.4852,-0.81585,-0.6921,-0.37763,-2.4925
2.0561,2.4699,-0.8352,-0.69467,-0.35879,-2.4932
2.1017,2.4453,-0.84777,-0.68512,-0.31626,-2.4951
2.1732,2.4184,-0.84983,-0.6647,-0.25843,-2.4978
2.2481,2.4004,-0.84836,-0.62997,-0.18545,-2.5008
2.3176,2.3966,-0.84755,-0.5797,-0.094942,-2.5039
2.3831,2.4083,-0.84654,-0.50726,0.009297,-2.5074
2.4546,2.427,-0.84225,-0.415,0.11637,-2.5117
2.5385,2.4475,-0.83455,-0.31031,0.21989,-2.5166
2.6248,2.4743,-0.82246,-0.2019,0.3134,-2.5217
2.7127,2.5029,-0.80708,-0.09236,0.3961,-2.5269
2.8154,2.5166,-0.78989,0.016317,0.46983,-2.5329
2.9372,2.506,-0.77455,0.12005,0.53768,-2.54
3.0824,2.4754,-0.75277,0.2265,0.60115,-2.5485
3.2511,2.4264,-0.72202,0.34098,0.66035,-2.5584
3.4151,2.3678,-0.69402,0.44346,0.71131,-2.5681
3.5729,2.2995,-0.6713,0.51757,0.75602,-2.577
3.7241,2.2202,-0.65218,0.56278,0.78465,-2.5851
3.8632,2.1248,-0.63846,0.579,0.79059,-2.5925
3.9901,2.0148,-0.62223,0.57176,0.76875,-2.5993
4.1083,1.8962,-0.5941,0.55115,0.71857,-2.606
4.2207,1.7621,-0.55918,0.52273,0.65093,-2.6128
4.3121,1.613,-0.53618,0.4863,0.58709,-2.6191
4.3886,1.4508,-0.5259,0.45115,0.54368,-2.6253
4.4563,1.2982,-0.5231,0.43251,0.53039,-2.6314
4.5244,1.1686,-0.51703,0.4425,0.54757,-2.6377
4.6086,1.0416,-0.49871,0.4784,0.59012,-2.6452
4.7124,0.89739,-0.4634,0.52542,0.63672,-2.6544
4.8198,0.74033,-0.41601,0.56719,0.66134,-2.6642
4.9074,0.58847,-0.36517,0.58414,0.64623,-2.6728
4.9588,0.43576,-0.31947,0.56073,0.59001,-2.6794
4.9705,0.27144,-0.27727,0.48824,0.49246,-2.684
4.9511,0.080902,-0.23002,0.36721,0.35769,-2.6878
4.9072,-0.12456,-0.18038,0.2124,0.21025,-2.6906
4.8387,-0.32858,-0.14096,0.050128,0.069265,-2.6925
4.7486,-0.52339,-0.11344,-0.10631,-0.06034,-2.6935
4.6431,-0.70887,-0.090518,-0.2576,-0.18177,-2.6938
4.5346,-0.87625,-0.070791,-0.39379,-0.2879,-2.6938
4.4367,-1.0078,-0.061493,-0.49777,-0.36887,-2.6933
4.3473,-1.1075,-0.061607,-0.57802,-0.43807,-2.6924
4.2597,-1.1959,-0.063403,-0.65104,-0.50662,-2.6915
4.1752,-1.2751,-0.065119,-0.71956,-0.57354,-2.6906
4.1025,-1.3298,-0.071613,-0.77623,-0.63157,-2.6894
4.0213,-1.3882,-0.078187,-0.84679,-0.69109,-2.6877
3.9202,-1.4728,-0.078248,-0.94429,-0.74967,-2.6857
3.8007,-1.5853,-0.070902,-1.0615,-0.80396,-2.6835
3.6764,-1.7083,-0.060946,-1.1731,-0.84448,-2.6814
3.5337,-1.8474,-0.049481,-1.2821,-0.88006,-2.6793
3.3638,-2.0022,-0.037566,-1.395,-0.91668,-2.677
3.1653,-2.1704,-0.029081,-1.5128,-0.95097,-2.6744
2.9477,-2.3393,-0.029332,-1.6239,-0.97743,-2.6714
2.7427,-2.4839,-0.037608,-1.7093,-0.98332,-2.6684
2.5863,-2.5784,-0.047621,-1.7525,-0.95468,-2.6662
2.5044,-2.6114,-0.051794,-1.7351,-0.87727,-2.6656
2.525,-2.5765,-0.04966,-1.6332,-0.75543,-2.668
2.6175,-2.5006,-0.040966,-1.4706,-0.60189,-2.6726
2.7292,-2.4219,-0.026909,-1.3019,-0.44982,-2.6776
2.819,-2.3772,-0.0097026,-1.1779,-0.33858,-2.6818
2.8682,-2.3807,0.0048098,-1.126,-0.29358,-2.6843
2.8841,-2.4208,0.015019,-1.1318,-0.30269,-2.6857
2.9174,-2.4435,0.011462,-1.133,-0.32414,-2.6871
3.0202,-2.3726,-0.01735,-1.0786,-0.31847,-2.6885
3.2251,-2.1185,-0.083858,-0.93136,-0.25459,-2.6889
3.5178,-1.601,-0.19461,-0.67777,-0.11293,-2.6856
3.8006,-0.79887,-0.33737,-0.35326,0.10138,-2.6748
3.9054,0.22081,-0.47715,-0.034667,0.34562,-2.6525
3.6721,1.3179,-0.56645,0.19585,0.54522,-2.6171
3.0308,2.3429,-0.57251,0.30615,0.63681,-2.5708
2.0315,3.1266,-0.49124,0.3122,0.58859,-2.5201
0.80211,3.5294,-0.34438,0.25542,0.41415,-2.4739
-0.54713,3.5002,-0.14678,0.18766,0.14139,-2.4373
-1.8543,3.0441,0.078909,0.14279,-0.16738,-2.4147
-2.976,2.2237,0.3031,0.1099,-0.42955,-2.4076
-3.7785,1.1705,0.49756,0.095117,-0.57975,-2.4158
-4.1792,0.046315,0.63821,0.094531,-0.62384,-2.4368
-4.1851,-1.059,0.72444,0.088748,-0.61696,-2.4676
-3.8612,-2.0673,0.7485,0.056284,-0.61111,-2.5037
-3.2796,-2.939,0.71071,-0.0086592,-0.62303,-2.542
-2.5265,-3.6254,0.61703,-0.11255,-0.62067,-2.5791
-1.6762,-4.0859,0.48034,-0.29722,-0.53654,-2.6111
-0.77961,-4.3086,0.32624,-0.59878,-0.35803,-2.6355
0.10962,-4.297,0.18664,-0.99469,-0.14374,-2.6515
0.9661,-4.0546,0.089664,-1.3784,0.028563,-2.6596
1.8413,-3.5568,0.027813,-1.6879,0.14715,-2.6605
2.7309,-2.7924,-0.018902,-1.8806,0.21854,-2.6535
3.5502,-1.7831,-0.053591,-1.9331,0.25354,-2.6375
4.2031,-0.56126,-0.056788,-1.8487,0.28501,-2.6118
4.6227,0.81076,-0.005139,-1.6227,0.35158,-2.5777
4.7287,2.166,0.12066,-1.2849,0.45882,-2.5386
4.4838,3.3655,0.32415,-0.88916,0.58135,-2.4964
3.9149,4.3361,0.59836,-0.49595,0.68563,-2.4522
3.1051,5.0233,0.92209,-0.15759,0.74021,-2.408
2.1403,5.4229,1.277,0.10604,0.73507,-2.3647
1.1114,5.5585,1.6424,0.30001,0.67723,-2.3238
0.096438,5.4651,1.9938,0.44305,0.59287,-2.2868
-0.82858,5.1733,2.3145,0.56297,0.5079,-2.2564
