"V1","V2","V3","V4","V5","V6"
-0.39472,-1.5962,1.0724,2.5129,0.83731,-5.2096
-0.40622,-1.5997,1.0719,2.505,0.8456,-5.2087
-0.41372,-1.6112,1.0671,2.4925,0.86533,-5.2079
-0.41274,-1.6293,1.0587,2.478,0.90003,-5.2075
-0.40455,-1.6465,1.0497,2.4654,0.93981,-5.2075
-0.39142,-1.6527,1.0445,2.4615,0.97047,-5.2083
-0.37357,-1.6473,1.0423,2.4642,0.98947,-5.2098
-0.35373,-1.6392,1.039,2.461,1.0014,-5.2115
-0.34252,-1.6429,1.0273,2.4343,1.0071,-5.2126
-0.35252,-1.6639,1.0063,2.3785,1.001,-5.2121
-0.37989,-1.6865,0.98821,2.3114,0.98733,-5.2102
-0.40753,-1.7028,0.97684,2.2549,0.98684,-5.2077
-0.4327,-1.7207,0.96469,2.2034,0.99619,-5.2054
-0.45723,-1.7502,0.94504,2.1461,1.0122,-5.203
-0.48373,-1.7911,0.91828,2.0821,1.0245,-5.2007
-0.51337,-1.8326,0.89153,2.0255,1.0235,-5.1989
-0.54233,-1.8646,0.87052,1.9852,1.0126,-5.1976
-0.56589,-1.8902,0.85278,1.9555,1.0055,-5.1966
-0.58159,-1.9167,0.83634,1.9305,1.015,-5.1958
-0.59081,-1.9415,0.82272,1.9107,1.0346,-5.1951
-0.59368,-1.9556,0.81502,1.8987,1.0544,-5.1948
-0.58948,-1.9598,0.80853,1.8915,1.0749,-5.1951
-0.57887,-1.9614,0.80007,1.8891,1.1006,-5.196
-0.56219,-1.9628,0.79496,1.9002,1.1327,-5.1973
-0.54032,-1.9623,0.79838,1.9297,1.1717,-5.1987
-0.51408,-1.9622,0.80531,1.9705,1.2137,-5.2005
-0.48134,-1.9653,0.80739,2.0136,1.2547,-5.2032
-0.43971,-1.9749,0.79934,2.053,1.2974,-5.2067
-0.39033,-1.9842,0.78944,2.0962,1.3477,-5.2106
-0.34045,-1.9834,0.79029,2.1505,1.4057,-5.2139
-0.29076,-1.9813,0.794,2.1975,1.473,-5.2165
-0.24464,-1.9906,0.78618,2.2126,1.5398,-5.2185
-0.21083,-2.0174,0.75974,2.1893,1.5918,-5.2198
-0.20364,-2.055,0.72381,2.1442,1.6123,-5.22
-0.23229,-2.1019,0.68593,2.0814,1.6024,-5.2181
-0.29372,-2.1576,0.64803,1.9989,1.565,-5.2143
-0.37736,-2.2235,0.6049,1.8943,1.5138,-5.2088
-0.46955,-2.295,0.55454,1.7707,1.4507,-5.2029
-0.55244,-2.3681,0.49473,1.6365,1.3835,-5.1979
-0.61599,-2.4357,0.4305,1.5022,1.3213,-5.1942
-0.66212,-2.4875,0.37519,1.3818,1.272,-5.1915
-0.70058,-2.5194,0.33923,1.2869,1.2336,-5.1894
-0.74627,-2.5297,0.32878,1.234,1.194,-5.1876
-0.79611,-2.5274,0.33613,1.2194,1.1553,-5.1858
-0.83789,-2.5271,0.34388,1.2155,1.1258,-5.1843
-0.87052,-2.5347,0.3459,1.2089,1.1036,-5.1829
-0.88291,-2.5583,0.33214,1.1779,1.098,-5.182
-0.87729,-2.5945,0.30543,1.124,1.1078,-5.1816
-0.8751,-2.6302,0.27831,1.0654,1.1104,-5.181
-0.88649,-2.6605,0.25241,1.0043,1.0935,-5.18
-0.9103,-2.6862,0.22569,0.9405,1.063,-5.1788
-0.94395,-2.7017,0.20759,0.89459,1.0311,-5.1773
-0.9766,-2.6997,0.20753,0.89402,1.0139,-5.176
-0.993,-2.6747,0.22817,0.95826,1.0251,-5.1759
-0.96634,-2.6258,0.26569,1.0962,1.0815,-5.1784
-0.87987,-2.5612,0.3075,1.2818,1.1905,-5.1841
-0.75095,-2.4892,0.34815,1.4837,1.3286,-5.192
-0.61095,-2.422,0.38574,1.6702,1.4628,-5.2005
-0.48402,-2.3675,0.42059,1.8214,1.5751,-5.2079
-0.38182,-2.3332,0.44666,1.9248,1.6603,-5.2135
-0.30104,-2.3098,0.46809,1.996,1.7257,-5.2175
-0.23103,-2.2828,0.49079,2.0587,1.7796,-5.221
-0.15974,-2.251,0.51061,2.1188,1.8298,-5.2249
-0.088956,-2.2175,0.52688,2.1774,1.8787,-5.2291
-0.033989,-2.1797,0.54942,2.2453,1.9154,-5.2326
-0.005429,-2.136,0.58383,2.3309,1.9231,-5.2351
-0.0020186,-2.0955,0.62233,2.4182,1.9021,-5.2364
-0.013453,-2.0766,0.64572,2.4676,1.8712,-5.2365
-0.034761,-2.0877,0.64624,2.4595,1.8395,-5.2355
-0.064608,-2.1253,0.62801,2.4015,1.8032,-5.2334
-0.10789,-2.1826,0.59699,2.3066,1.7577,-5.2302
-0.17187,-2.2481,0.56219,2.1935,1.6971,-5.2257
-0.25803,-2.3078,0.53306,2.0835,1.6221,-5.2204
-0.35706,-2.3631,0.50474,1.977,1.5515,-5.2144
-0.45972,-2.4197,0.47127,1.8674,1.4938,-5.2081
-0.55624,-2.4799,0.43235,1.7564,1.4514,-5.2021
-0.64012,-2.5404,0.39181,1.6505,1.4228,-5.1967
-0.70922,-2.596,0.35419,1.5546,1.4023,-5.1922
-0.76264,-2.6491,0.3186,1.4642,1.3891,-5.1885
-0.80754,-2.698,0.28506,1.3764,1.378,-5.1854
-0.84983,-2.7391,0.25595,1.297,1.3632,-5.1827
-0.89377,-2.7716,0.23568,1.2344,1.3406,-5.1802
-0.93841,-2.7986,0.22213,1.1853,1.3115,-5.1779
-0.97807,-2.822,0.20993,1.1418,1.2846,-5.1757
-1.0155,-2.8384,0.19674,1.101,1.2616,-5.1738
-1.0529,-2.8454,0.18306,1.0654,1.2451,-5.172
-1.0828,-2.8421,0.1719,1.044,1.2415,-5.1707
-1.0933,-2.8291,0.16723,1.0505,1.2591,-5.1703
-1.0798,-2.8057,0.16978,1.0894,1.3017,-5.1712
-1.0455,-2.7737,0.17656,1.1523,1.3662,-5.1733
-0.99487,-2.7345,0.18727,1.2338,1.4455,-5.1763
-0.93401,-2.6953,0.20103,1.3233,1.5267,-5.1798
-0.86834,-2.6611,0.21571,1.4123,1.6006,-5.1835
-0.80169,-2.6318,0.23155,1.5001,1.6638,-5.1873
-0.73912,-2.6032,0.25114,1.5915,1.7146,-5.191
-0.68065,-2.5682,0.27828,1.6991,1.7542,-5.1948
-0.62568,-2.5229,0.31373,1.8253,1.7839,-5.1989
-0.56131,-2.4813,0.34505,1.9378,1.8131,-5.2033
-0.48514,-2.4485,0.36862,2.022,1.8458,-5.2076
-0.39657,-2.4185,0.38797,2.0869,1.8843,-5.212
-0.30147,-2.3851,0.4092,2.1487,1.9282,-5.2165
-0.21361,-2.3412,0.44018,2.2268,1.9689,-5.2208
-0.14452,-2.2864,0.48273,2.3331,1.994,-5.2248
-0.092365,-2.2249,0.53181,2.4554,2.0057,-5.2285
-0.041973,-2.1693,0.57394,2.5583,2.0233,-5.2319
0.010704,-2.1219,0.60595,2.6313,2.0524,-5.2347
0.068651,-2.0806,0.63169,2.6824,2.0873,-5.2372
0.13148,-2.047,0.65228,2.7214,2.1134,-5.2399
0.19354,-2.016,0.67295,2.7643,2.1227,-5.243
0.24349,-1.9879,0.69552,2.8107,2.1117,-5.2461
0.27384,-1.9617,0.71995,2.86,2.0811,-5.2486
0.28662,-1.9345,0.74791,2.9171,2.0359,-5.2506
0.29337,-1.9062,0.77762,2.9811,1.9899,-5.2523
0.30502,-1.8845,0.79802,3.0318,1.9616,-5.2538
0.31789,-1.8741,0.80387,3.0516,1.9555,-5.2548
0.33077,-1.873,0.80126,3.0413,1.9641,-5.2551
0.33567,-1.8751,0.79918,3.0161,1.9675,-5.2547
0.3244,-1.8742,0.80353,2.996,1.9452,-5.2536
0.29382,-1.8732,0.808,2.9827,1.9008,-5.2519
0.25638,-1.8849,0.80185,2.9568,1.8584,-5.2501
0.23065,-1.9156,0.7819,2.9061,1.8359,-5.2488
0.21981,-1.9492,0.7632,2.8453,1.8239,-5.2481
0.21596,-1.9757,0.75009,2.7844,1.8105,-5.2478
0.20502,-1.9921,0.74225,2.7354,1.7839,-5.2475
0.18916,-1.9998,0.73895,2.7056,1.7513,-5.247
0.17174,-1.9975,0.74478,2.705,1.7187,-5.2465
0.15987,-1.9818,0.76209,2.7348,1.695,-5.2464
0.16654,-1.9521,0.7874,2.7865,1.6933,-5.2471
0.19459,-1.9127,0.81606,2.8544,1.7121,-5.2487
0.23735,-1.8662,0.84953,2.942,1.735,-5.2513
0.29252,-1.8085,0.89184,3.0552,1.7551,-5.255
0.36315,-1.7376,0.94436,3.1877,1.7735,-5.2596
0.44872,-1.6546,1.0098,3.335,1.7854,-5.2649
0.54642,-1.5639,1.088,3.4928,1.7824,-5.2708
0.65927,-1.4811,1.1667,3.6384,1.7836,-5.2771
0.78699,-1.4166,1.2374,3.7599,1.7993,-5.2839
0.91081,-1.3686,1.2989,3.8531,1.8228,-5.2901
1.0058,-1.3288,1.3549,3.916,1.8374,-5.2944
1.0616,-1.2942,1.4075,3.9506,1.8256,-5.2964
1.0875,-1.2728,1.4495,3.9599,1.7866,-5.2973
1.0925,-1.2663,1.4788,3.9482,1.7284,-5.2978
1.0842,-1.2707,1.4989,3.923,1.6606,-5.2978
1.067,-1.2784,1.5166,3.8882,1.5886,-5.2974
1.0465,-1.2846,1.5357,3.8441,1.518,-5.2966
1.0218,-1.29,1.5548,3.7895,1.4518,-5.2953
0.98893,-1.2999,1.5694,3.725,1.3836,-5.2936
0.94938,-1.3167,1.5767,3.6549,1.3159,-5.2918
0.907,-1.3391,1.5758,3.5879,1.2552,-5.2901
0.86331,-1.3661,1.565,3.529,1.2095,-5.2885
0.81534,-1.3992,1.5442,3.4739,1.1692,-5.2869
0.75949,-1.4382,1.5149,3.4166,1.1293,-5.2847
0.69815,-1.4777,1.4812,3.359,1.1001,-5.282
0.63494,-1.5156,1.4462,3.304,1.0865,-5.2789
0.57384,-1.5454,1.4202,3.2485,1.0723,-5.2758
