"V1","V2","V3","V4","V5","V6"
0.97208,0.2152,5.2383,1.3153,0.98795,-0.61579
0.93251,0.11539,5.2686,0.9642,1.2642,-0.59601
0.91537,0.0075192,5.3088,0.57874,1.5423,-0.57382
0.94062,-0.10561,5.3667,0.13551,1.8215,-0.54785
1.0087,-0.22276,5.4314,-0.33582,2.0642,-0.51994
1.092,-0.34919,5.475,-0.76666,2.2124,-0.49449
1.183,-0.47497,5.4946,-1.1498,2.2507,-0.47185
1.2868,-0.58429,5.4974,-1.4959,2.1865,-0.45077
1.4169,-0.66494,5.4893,-1.8095,2.0331,-0.43017
1.5941,-0.71138,5.4747,-2.0785,1.8049,-0.40963
1.837,-0.70806,5.4666,-2.3003,1.5149,-0.38793
2.1275,-0.6432,5.4746,-2.4619,1.1912,-0.36546
2.4345,-0.52143,5.5,-2.5585,0.87082,-0.34349
2.7303,-0.35636,5.5419,-2.5989,0.59253,-0.32303
2.9996,-0.16372,5.5992,-2.5969,0.38181,-0.30476
3.2451,0.040256,5.6655,-2.5615,0.23783,-0.28877
3.4714,0.25071,5.7384,-2.494,0.14095,-0.27427
3.6828,0.4707,5.8197,-2.403,0.06797,-0.25972
3.8857,0.70378,5.9085,-2.3076,-0.0043989,-0.2433
4.0802,0.95386,6.0087,-2.2244,-0.086112,-0.22384
4.2546,1.2043,6.1146,-2.1629,-0.15713,-0.20315
4.4107,1.4445,6.2112,-2.1103,-0.20464,-0.18335
4.5544,1.6744,6.2924,-2.0453,-0.22049,-0.16571
4.6902,1.8995,6.3571,-1.9508,-0.20029,-0.15054
4.8187,2.1237,6.3979,-1.8011,-0.14572,-0.13785
4.9374,2.3618,6.4143,-1.5745,-0.070866,-0.12589
5.0176,2.5961,6.4066,-1.2944,-0.011578,-0.11393
5.0311,2.8083,6.3754,-0.98135,0.0074367,-0.10116
4.9714,3.0055,6.3442,-0.65246,0.002681,-0.085055
4.8359,3.195,6.3298,-0.31258,-0.004639,-0.063676
4.6317,3.3672,6.3297,0.040287,0.0012707,-0.038031
4.379,3.5052,6.3384,0.39414,0.034489,-0.010619
4.0909,3.5964,6.3463,0.73988,0.10426,0.016678
