"V1","V2","V3","V4","V5","V6"
0.59506,-2.6546,-0.59723,-2.3772,-0.18245,-3.2731
0.21573,-2.8072,-0.62189,-2.4394,-0.17727,-3.2647
-0.10034,-2.9353,-0.64244,-2.4781,-0.17706,-3.258
-0.35051,-3.0339,-0.6583,-2.482,-0.17993,-3.2533
-0.55675,-3.1063,-0.66984,-2.4477,-0.17525,-3.2502
-0.73949,-3.1526,-0.67637,-2.3735,-0.14366,-3.248
-0.9274,-3.1734,-0.67974,-2.2655,-0.071135,-3.2456
-1.1148,-3.1696,-0.6802,-2.1296,0.0321,-3.2432
-1.2997,-3.1538,-0.68046,-1.9934,0.13261,-3.2404
-1.4866,-3.1353,-0.68306,-1.8727,0.20767,-3.2369
-1.6995,-3.1142,-0.69061,-1.7652,0.26168,-3.232
-1.9487,-3.0864,-0.70378,-1.659,0.30793,-3.2255
-2.2141,-3.0494,-0.71792,-1.5465,0.34861,-3.2183
-2.4484,-3.0083,-0.72212,-1.4281,0.37589,-3.2123
-2.6536,-2.9571,-0.7197,-1.3057,0.38946,-3.2068
-2.8605,-2.8872,-0.71794,-1.1827,0.38784,-3.2004
-3.0903,-2.7984,-0.72604,-1.0684,0.36136,-3.1923
-3.3642,-2.6854,-0.7556,-0.96229,0.3144,-3.1813
-3.6533,-2.5527,-0.80515,-0.85878,0.2631,-3.1688
-3.8961,-2.4067,-0.85869,-0.74161,0.23437,-3.1576
-4.0662,-2.2361,-0.89851,-0.58902,0.25001,-3.1488
-4.1618,-2.046,-0.92167,-0.40595,0.3023,-3.1425
-4.2085,-1.8564,-0.94326,-0.2285,0.3579,-3.1378
-4.2484,-1.6577,-0.97895,-0.074012,0.39533,-3.1322
-4.303,-1.4385,-1.0224,0.05235,0.41367,-3.124
-4.3659,-1.2236,-1.0581,0.14453,0.40663,-3.1147
-4.4317,-1.0333,-1.0897,0.20415,0.37124,-3.1054
-4.4894,-0.85926,-1.1253,0.25818,0.31924,-3.0971
-4.5303,-0.68983,-1.1661,0.32825,0.26119,-3.0902
-4.5436,-0.53635,-1.2019,0.41704,0.203,-3.086
-4.5314,-0.38449,-1.231,0.52189,0.14737,-3.0833
-4.4978,-0.21352,-1.2634,0.64663,0.095498,-3.0806
-4.4393,-0.036768,-1.3065,0.79461,0.053956,-3.0785
-4.3479,0.14181,-1.3511,0.96222,0.033634,-3.0777
-4.2165,0.34394,-1.3814,1.1313,0.037898,-3.077
-4.0497,0.60204,-1.3957,1.2788,0.055102,-3.074
-3.8753,0.87371,-1.4026,1.3937,0.061625,-3.0695
-3.7121,1.1141,-1.4134,1.4854,0.051509,-3.0652
-3.5664,1.2975,-1.431,1.5667,0.032127,-3.0625
-3.4114,1.4592,-1.4488,1.6292,0.010129,-3.0604
-3.2118,1.6446,-1.4643,1.6653,-0.01549,-3.0573
-2.9423,1.8775,-1.4773,1.6728,-0.048925,-3.0528
-2.6097,2.1371,-1.4946,1.6595,-0.10367,-3.0476
-2.2486,2.385,-1.5223,1.6225,-0.18806,-3.0423
