"V1","V2","V3","V4","V5","V6"
-0.47577,-1.2301,-2.9088,-1.0192,1.824,-3.3371
-0.56265,-1.2628,-2.9447,-1.1665,1.6768,-3.3315
-0.65918,-1.3011,-2.9837,-1.3177,1.5222,-3.3256
-0.76711,-1.3488,-3.0251,-1.476,1.3631,-3.3193
-0.87998,-1.4041,-3.0652,-1.6299,1.2131,-3.3132
-0.98383,-1.4639,-3.0976,-1.758,1.0945,-3.3083
-1.0806,-1.5267,-3.123,-1.8536,1.0128,-3.3045
-1.1781,-1.5894,-3.1453,-1.921,0.96178,-3.3009
-1.279,-1.6487,-3.1669,-1.964,0.93318,-3.2969
-1.3781,-1.6974,-3.1884,-1.9829,0.92366,-3.2927
-1.4702,-1.7304,-3.2099,-1.9737,0.93658,-3.2885
-1.5351,-1.7389,-3.2257,-1.9286,0.98576,-3.2854
-1.5517,-1.7175,-3.2277,-1.8445,1.0798,-3.2849
-1.5219,-1.672,-3.2153,-1.7325,1.2089,-3.2869
-1.4623,-1.6158,-3.1936,-1.611,1.3537,-3.2906
-1.3847,-1.5596,-3.1669,-1.4991,1.4911,-3.2953
-1.3046,-1.5093,-3.1413,-1.4024,1.6077,-3.3001
-1.2328,-1.4661,-3.12,-1.313,1.7064,-3.3042
-1.1732,-1.4286,-3.1028,-1.2211,1.7949,-3.3074
-1.1252,-1.3948,-3.0884,-1.1227,1.8753,-3.3096
-1.0889,-1.3642,-3.0774,-1.0225,1.9427,-3.3109
-1.0706,-1.3433,-3.0727,-0.94332,1.9766,-3.3112
-1.0838,-1.3418,-3.0786,-0.90998,1.9559,-3.31
-1.1416,-1.3654,-3.0988,-0.93196,1.8741,-3.3066
-1.2496,-1.4155,-3.1342,-1.0105,1.7339,-3.3009
-1.3977,-1.4867,-3.1806,-1.1315,1.5548,-3.2936
-1.5627,-1.5676,-3.2282,-1.2571,1.3758,-3.2861
-1.7275,-1.6478,-3.2707,-1.3615,1.2205,-3.2792
-1.8754,-1.7157,-3.3042,-1.4239,1.1091,-3.2734
-1.9916,-1.7604,-3.3269,-1.442,1.0518,-3.269
-2.0702,-1.7792,-3.3402,-1.4166,1.0442,-3.2661
-2.1022,-1.7718,-3.3426,-1.356,1.0843,-3.2652
-2.0824,-1.7411,-3.3325,-1.2658,1.1712,-3.2667
-2.0228,-1.6922,-3.314,-1.1489,1.2933,-3.27
-1.9554,-1.6387,-3.2964,-1.0053,1.4233,-3.2737
-1.8976,-1.5934,-3.2818,-0.84442,1.5432,-3.2775
-1.8471,-1.5558,-3.2674,-0.68425,1.6554,-3.2812
-1.7975,-1.5172,-3.2516,-0.52126,1.7667,-3.2848
-1.7431,-1.4708,-3.2353,-0.3505,1.8771,-3.2879
-1.6808,-1.4137,-3.2181,-0.17209,1.9853,-3.2906
-1.6189,-1.3548,-3.2009,0.00023931,2.0777,-3.2929
-1.5744,-1.3108,-3.1858,0.14798,2.1369,-3.2948
-1.5464,-1.2816,-3.1733,0.27797,2.1701,-3.2967
-1.5308,-1.2622,-3.1622,0.40629,2.1865,-3.2987
-1.5233,-1.2469,-3.151,0.53422,2.1935,-3.3005
-1.5084,-1.2238,-3.1348,0.68185,2.2034,-3.3022
-1.4737,-1.1855,-3.1108,0.86515,2.2217,-3.3042
-1.421,-1.1366,-3.0814,1.0772,2.2395,-3.3066
-1.3605,-1.0864,-3.0507,1.291,2.2458,-3.3093
-1.292,-1.0352,-3.0203,1.479,2.2406,-3.3118
-1.2394,-0.99527,-2.9963,1.607,2.2074,-3.3132
-1.2218,-0.97748,-2.9851,1.6544,2.1347,-3.3128
-1.2323,-0.97827,-2.9851,1.6448,2.0211,-3.3109
-1.2708,-0.99571,-2.9945,1.5954,1.8811,-3.3078
-1.3263,-1.0205,-3.0081,1.5313,1.7437,-3.3042
-1.3802,-1.0385,-3.0188,1.4836,1.6283,-3.3009
-1.4161,-1.0415,-3.0237,1.4737,1.5468,-3.2987
-1.4287,-1.0293,-3.0226,1.5039,1.5059,-3.2978
-1.4192,-1.0065,-3.0169,1.5604,1.5098,-3.2982
-1.3913,-0.97644,-3.0072,1.633,1.5527,-3.2997
-1.352,-0.9435,-2.9935,1.7184,1.6152,-3.3018
-1.3011,-0.90791,-2.9751,1.8162,1.6783,-3.3044
-1.2455,-0.8734,-2.9541,1.9112,1.7307,-3.3069
-1.1978,-0.84573,-2.9353,1.9858,1.7668,-3.3088
-1.161,-0.82546,-2.9209,2.0372,1.7832,-3.31
-1.1364,-0.81193,-2.9109,2.0656,1.7762,-3.3103
-1.1259,-0.80644,-2.9054,2.0682,1.7416,-3.3095
