"V1","V2","V3","V4","V5","V6"
1.8241,6.0254,1.1643,-0.43514,0.31461,12.765
1.8298,5.9747,1.1704,-0.54805,0.22323,12.768
1.823,5.925,1.17,-0.66838,0.13839,12.771
1.7977,5.8786,1.1656,-0.7902,0.057445,12.774
1.7556,5.8334,1.1537,-0.90983,-0.020808,12.777
1.6968,5.7946,1.1396,-1.0168,-0.092425,12.781
1.6291,5.7612,1.1232,-1.1099,-0.15763,12.785
1.5617,5.7269,1.1024,-1.1943,-0.22127,12.788
1.5042,5.6866,1.0726,-1.28,-0.28079,12.79
1.4573,5.6427,1.0359,-1.3679,-0.33296,12.793
1.4166,5.6086,1.0035,-1.4362,-0.36427,12.794
1.3811,5.6007,0.98568,-1.4573,-0.3547,12.795
1.3698,5.6232,0.9864,-1.4171,-0.29258,12.794
1.4093,5.668,0.99962,-1.318,-0.17863,12.791
1.5042,5.7276,1.0271,-1.1716,-0.031902,12.785
1.6464,5.7933,1.0669,-0.99518,0.12627,12.777
1.806,5.8573,1.1121,-0.81604,0.27257,12.77
1.9473,5.9129,1.1559,-0.6627,0.38433,12.763
2.0603,5.9554,1.1926,-0.54638,0.45197,12.758
2.1232,5.9838,1.2147,-0.47459,0.47291,12.755
2.107,6.0045,1.2256,-0.45405,0.45402,12.756
1.991,6.0307,1.2457,-0.48637,0.41619,12.761
1.7505,6.0815,1.3124,-0.56688,0.39305,12.774
1.3878,6.1721,1.467,-0.6888,0.4341,12.795
0.93711,6.2939,1.7423,-0.85678,0.56737,12.825
0.41389,6.4183,2.1542,-1.0702,0.78227,12.863
-0.16743,6.5068,2.6946,-1.3017,1.0243,12.907
-0.7753,6.5135,3.2955,-1.5062,1.2141,12.952
-1.3525,6.4294,3.8809,-1.6718,1.3202,12.992
-1.8362,6.2807,4.3885,-1.8057,1.3549,13.025
-2.214,6.0937,4.8246,-1.9217,1.3535,13.053
-2.4978,5.8862,5.23,-2.0324,1.3523,13.078
-2.7132,5.6646,5.6374,-2.1515,1.3683,13.104
-2.8828,5.4343,6.046,-2.2908,1.3981,13.131
-3.0311,5.1937,6.4369,-2.4488,1.4219,13.157
-3.1636,4.9558,6.7581,-2.5976,1.4131,13.179
-3.272,4.7128,7.0251,-2.7164,1.3778,13.196
-3.3507,4.4529,7.2679,-2.7996,1.3222,13.208
-3.4012,4.1649,7.5005,-2.8435,1.2373,13.216
-3.4302,3.8399,7.7189,-2.8339,1.1059,13.222
-3.4274,3.4664,7.9495,-2.7757,0.9504,13.227
-3.3873,3.0391,8.2022,-2.6723,0.78802,13.232
-3.3123,2.5819,8.4557,-2.5262,0.63115,13.238
-3.2091,2.1342,8.677,-2.3399,0.49198,13.243
-3.0699,1.6944,8.8613,-2.1072,0.36409,13.245
-2.8847,1.2527,9.0149,-1.8283,0.24326,13.244
-2.6593,0.80159,9.1402,-1.5185,0.13436,13.242
-2.4079,0.34047,9.2323,-1.2099,0.023343,13.241
-2.1166,-0.15883,9.3028,-0.93304,-0.10583,13.241
-1.8137,-0.67862,9.3429,-0.70567,-0.24121,13.244
-1.5539,-1.1608,9.3391,-0.54115,-0.37355,13.248
-1.3343,-1.5704,9.3015,-0.41932,-0.48376,13.253
-1.1,-1.9126,9.2528,-0.2935,-0.55315,13.257
-0.83739,-2.1885,9.208,-0.13731,-0.57059,13.258
-0.58572,-2.3948,9.1656,0.03815,-0.54448,13.258
-0.34415,-2.5435,9.1271,0.22976,-0.47869,13.256
-0.099273,-2.662,9.0911,0.4234,-0.3906,13.254
0.15197,-2.78,9.0511,0.58694,-0.30957,13.254
0.40058,-2.9018,9.0069,0.70865,-0.2518,13.256
0.63405,-3.0237,8.9601,0.80008,-0.21446,13.259
0.82868,-3.1317,8.9131,0.8763,-0.1928,13.261
0.9674,-3.2162,8.8687,0.94579,-0.1811,13.262
1.0445,-3.271,8.8324,1.0072,-0.1707,13.262
1.1,-3.3063,8.8022,1.0635,-0.14821,13.261
1.1995,-3.3442,8.7668,1.1168,-0.10338,13.261
1.3914,-3.3963,8.7148,1.1685,-0.022694,13.265
1.6818,-3.4577,8.6421,1.2142,0.095957,13.272
2.0514,-3.5192,8.5492,1.2463,0.24399,13.284
2.4463,-3.5697,8.4453,1.2547,0.40935,13.298
2.8104,-3.5978,8.3485,1.2292,0.58012,13.311
3.1241,-3.6059,8.2662,1.1549,0.75066,13.325
3.3525,-3.599,8.213,1.0355,0.9019,13.338
3.4679,-3.5902,8.1909,0.88266,0.99446,13.346
3.4624,-3.591,8.1976,0.6995,1.0088,13.352
3.3582,-3.6017,8.2308,0.4951,0.96665,13.354
3.2237,-3.6158,8.2727,0.3057,0.90862,13.354
3.1501,-3.6247,8.2994,0.17153,0.87506,13.355
3.1345,-3.6298,8.3058,0.088127,0.86092,13.358
3.1327,-3.6357,8.2984,0.022895,0.84775,13.361
3.1218,-3.6443,8.2835,-0.045626,0.82512,13.364
3.1047,-3.6531,8.2659,-0.12823,0.79847,13.368
3.1014,-3.6598,8.2448,-0.21788,0.77428,13.373
3.1234,-3.665,8.2194,-0.28868,0.75292,13.378
3.146,-3.6738,8.1908,-0.32789,0.72202,13.382
3.1534,-3.6866,8.1621,-0.34504,0.68212,13.385
3.158,-3.6962,8.1358,-0.35486,0.6503,13.387
3.1896,-3.6913,8.1157,-0.36111,0.65468,13.389
3.2572,-3.663,8.1139,-0.34964,0.72035,13.391
3.3372,-3.6088,8.1454,-0.30315,0.85274,13.39
3.4142,-3.5317,8.2127,-0.20242,1.035,13.384
3.5125,-3.4382,8.2987,-0.047919,1.2436,13.376
3.637,-3.3423,8.3815,0.12533,1.4505,13.367
3.7681,-3.2658,8.4384,0.2834,1.6144,13.361
3.8947,-3.2133,8.4673,0.42232,1.731,13.357
4.0242,-3.1773,8.4746,0.55699,1.8153,13.354
4.1615,-3.1477,8.4706,0.69843,1.882,13.351
4.2876,-3.1185,8.4732,0.83577,1.9413,13.349
4.4006,-3.0889,8.4804,0.95887,1.9947,13.346
4.499,-3.0614,8.4874,1.062,2.0369,13.343
4.5698,-3.041,8.4961,1.1346,2.0578,13.341
4.5919,-3.036,8.511,1.1676,2.0429,13.339
4.5455,-3.0533,8.536,1.1605,1.9794,13.336
4.4306,-3.0912,8.5671,1.1035,1.8736,13.332
4.2656,-3.1422,8.5974,0.99735,1.7459,13.329
4.0937,-3.1978,8.6128,0.85837,1.6241,13.329
3.945,-3.2505,8.6115,0.7176,1.522,13.331
3.8183,-3.2979,8.5968,0.60204,1.428,13.334
3.7008,-3.3393,8.5772,0.5209,1.332,13.336
3.5905,-3.3767,8.5533,0.47391,1.226,13.336
3.485,-3.4095,8.5306,0.45685,1.1157,13.336
3.3839,-3.436,8.5155,0.45243,1.0142,13.336
3.294,-3.4602,8.5012,0.45235,0.92038,13.336
3.2213,-3.4817,8.4859,0.43845,0.84251,13.336
3.132,-3.4983,8.4778,0.4036,0.77195,13.337
2.9808,-3.5079,8.4882,0.34252,0.69624,13.336
2.7525,-3.5083,8.5195,0.2525,0.61083,13.334
2.4743,-3.4952,8.5646,0.14757,0.52123,13.33
2.1741,-3.4629,8.6194,0.0495,0.43561,13.326
1.8827,-3.4125,8.6767,-0.028759,0.36774,13.321
1.6245,-3.3482,8.7309,-0.079579,0.32927,13.316
1.4267,-3.2799,8.7769,-0.098738,0.3279,13.311
1.3034,-3.2154,8.8133,-0.085938,0.35671,13.308
1.2352,-3.1567,8.8436,-0.054637,0.39605,13.305
1.1718,-3.101,8.8695,-0.03248,0.4201,13.302
1.0727,-3.0471,8.8908,-0.036751,0.40472,13.299
0.92553,-2.9968,8.9059,-0.076673,0.34743,13.297
0.73891,-2.9466,8.9188,-0.13798,0.26009,13.295
0.55608,-2.8996,8.9323,-0.19429,0.16568,13.292
0.43036,-2.8638,8.9466,-0.21932,0.087918,13.289
0.37131,-2.8366,8.9619,-0.20662,0.036632,13.286
0.35711,-2.8127,8.9768,-0.16937,0.016555,13.283
0.35351,-2.7847,8.9898,-0.12695,0.023598,13.281
0.32825,-2.7456,9.0006,-0.092768,0.054999,13.279
0.30144,-2.7015,9.0081,-0.058871,0.11778,13.277
0.27702,-2.6522,9.013,-0.016553,0.20623,13.276
0.25097,-2.5919,9.0188,0.045169,0.30296,13.273
0.22416,-2.5207,9.0289,0.12739,0.39123,13.269
0.20556,-2.4528,9.0408,0.21385,0.45717,13.265
0.19762,-2.4022,9.0492,0.28465,0.50462,13.261
0.19303,-2.3728,9.0523,0.32926,0.53444,13.258
0.17944,-2.3605,9.0518,0.34038,0.5342,13.257
0.14608,-2.3538,9.0513,0.3183,0.4958,13.256
0.086252,-2.3424,9.0515,0.27421,0.42951,13.256
0.00060174,-2.3217,9.0502,0.22102,0.35407,13.255
-0.10007,-2.2881,9.0489,0.172,0.28831,13.255
-0.17451,-2.256,9.0503,0.14155,0.24794,13.254
-0.17628,-2.2575,9.0513,0.13294,0.24186,13.254
-0.10304,-2.3025,9.0504,0.13751,0.25437,13.256
-0.020805,-2.3578,9.0494,0.1364,0.25103,13.258
0.014174,-2.3895,9.0523,0.11806,0.20709,13.259
-0.035764,-2.3794,9.0578,0.06909,0.11657,13.259
-0.1866,-2.3252,9.0603,-0.012717,-0.016277,13.258
-0.40968,-2.2497,9.0516,-0.13021,-0.16306,13.258
-0.6646,-2.166,9.0311,-0.27132,-0.29826,13.258
-0.92637,-2.0713,9.0027,-0.41885,-0.4084,13.259
-1.1796,-1.965,8.971,-0.55565,-0.49384,13.259
-1.4199,-1.8396,8.94,-0.67302,-0.5531,13.26
-1.6435,-1.6949,8.9103,-0.76524,-0.58287,13.259
-1.8407,-1.5422,8.882,-0.8273,-0.58178,13.257
-2.0087,-1.3921,8.8538,-0.86,-0.54911,13.255
-2.1276,-1.258,8.8307,-0.8593,-0.49381,13.253
-2.2091,-1.134,8.8107,-0.8289,-0.42711,13.25
-2.24,-1.0311,8.8016,-0.77207,-0.3562,13.247
-2.19,-0.97199,8.8187,-0.68567,-0.29102,13.243
-2.0749,-0.94285,8.8591,-0.57009,-0.21949,13.238
-1.9624,-0.89342,8.9018,-0.44832,-0.13084,13.233
-1.9039,-0.79928,8.9273,-0.34436,-0.03686,13.228
-1.8916,-0.68753,8.9349,-0.27069,0.036325,13.224
-1.9225,-0.57558,8.9254,-0.24048,0.065466,13.221
-1.9962,-0.48646,8.8983,-0.26083,0.043202,13.219
-2.0912,-0.43917,8.8626,-0.32346,-0.022787,13.22
-2.1768,-0.4342,8.8308,-0.40769,-0.11033,13.222
-2.2462,-0.44907,8.8071,-0.49599,-0.1981,13.224
-2.3209,-0.46167,8.7831,-0.58769,-0.2781,13.227
-2.3968,-0.46952,8.7598,-0.67577,-0.34263,13.229
-2.4585,-0.47771,8.7431,-0.7517,-0.38827,13.231
-2.507,-0.48172,8.731,-0.81539,-0.41498,13.233
-2.5493,-0.48219,8.7188,-0.87768,-0.42712,13.236
-2.5905,-0.47054,8.7057,-0.94872,-0.43747,13.238
-2.6637,-0.4279,8.6775,-1.0346,-0.45194,13.241
-2.7875,-0.33974,8.6246,-1.126,-0.4705,13.243
-2.9448,-0.21065,8.5528,-1.2045,-0.48543,13.244
-3.0935,-0.05945,8.4798,-1.2477,-0.48484,13.243
-3.2025,0.083577,8.4189,-1.2453,-0.45687,13.241
-3.2674,0.22049,8.3737,-1.2039,-0.41055,13.237
-3.2756,0.3305,8.3552,-1.1345,-0.34879,13.233
-3.2515,0.43496,8.3503,-1.0489,-0.27252,13.228
-3.2172,0.53603,8.3485,-0.95696,-0.18854,13.224
-3.1793,0.61969,8.3488,-0.86757,-0.10188,13.22
-3.1485,0.7074,8.343,-0.78724,-0.019177,13.217
-3.1217,0.8066,8.3305,-0.71501,0.062358,13.213
-3.0943,0.91059,8.314,-0.64857,0.14415,13.21
-3.0741,1.0143,8.2915,-0.59678,0.21129,13.207
-3.0676,1.1061,8.2657,-0.57054,0.25512,13.205
-3.0865,1.2025,8.2309,-0.572,0.26606,13.203
-3.141,1.3068,8.189,-0.60893,0.23421,13.201
-3.223,1.3846,8.1596,-0.69056,0.1551,13.2
-3.308,1.3913,8.1651,-0.80568,0.050669,13.2
-3.3653,1.3278,8.2036,-0.91861,-0.049269,13.202
-3.3298,1.1753,8.2757,-0.96998,-0.12739,13.203
-3.0981,0.85831,8.3887,-0.90051,-0.17744,13.204
-2.5448,0.2779,8.5392,-0.65223,-0.18862,13.205
-1.5927,-0.60203,8.6806,-0.19179,-0.14117,13.208
-0.32922,-1.6457,8.6956,0.43587,-0.034508,13.217
1.0517,-2.6189,8.4761,1.1287,0.10892,13.23
2.4188,-3.368,7.971,1.7988,0.29015,13.249
3.728,-3.8178,7.1947,2.3722,0.55569,13.276
4.8838,-3.9427,6.2289,2.7289,0.88636,13.313
5.8074,-3.734,5.1798,2.7947,1.2356,13.362
6.4712,-3.212,4.1383,2.5769,1.5696,13.425
6.8565,-2.4235,3.193,2.1417,1.8597,13.499
6.977,-1.4086,2.395,1.5631,2.0852,13.583
6.8653,-0.22414,1.8015,0.91272,2.2187,13.675
6.5636,1.0661,1.4638,0.25087,2.2384,13.771
6.0816,2.374,1.3771,-0.34986,2.1388,13.867
5.409,3.5961,1.4951,-0.82541,1.9402,13.961
4.5395,4.6625,1.762,-1.1444,1.6858,14.052
3.5164,5.5227,2.1483,-1.2905,1.4278,14.137
2.4087,6.1394,2.6286,-1.2846,1.1987,14.214
1.3099,6.4696,3.1616,-1.1761,1.0167,14.28
0.26004,6.495,3.7127,-1.0103,0.8831,14.336
-0.731,6.2045,4.2583,-0.82297,0.78107,14.382
-1.6484,5.5861,4.792,-0.62163,0.68952,14.421
-2.4441,4.638,5.2943,-0.41199,0.5852,14.454
-3.0587,3.3769,5.7287,-0.1945,0.4465,14.478
-3.4292,1.8768,6.0437,0.018519,0.25608,14.494
-3.516,0.2785,6.1971,0.21805,0.013505,14.499
-3.3141,-1.2345,6.1648,0.4119,-0.26073,14.495
-2.844,-2.5804,5.9398,0.63991,-0.53641,14.481
-2.1281,-3.7354,5.5325,0.93806,-0.76108,14.458
-1.1881,-4.705,4.9648,1.3118,-0.88959,14.429
-0.12783,-5.4544,4.2635,1.7043,-0.88632,14.398
0.98064,-5.9619,3.4693,2.0433,-0.74235,14.37
2.0406,-6.2051,2.6615,2.2385,-0.49318,14.349
2.9959,-6.1957,1.9007,2.2433,-0.17505,14.339
