"V1","V2","V3","V4","V5","V6"
-0.86023,4.5663,1.1727,-0.69684,0.52376,2.7624
-0.55882,4.631,1.1107,-0.59347,0.62215,2.7531
-0.23663,4.6923,1.0434,-0.48501,0.71611,2.7428
0.11718,4.7439,0.96769,-0.37492,0.79901,2.731
0.50554,4.7805,0.88384,-0.26917,0.86834,2.7175
0.90943,4.7974,0.79893,-0.17844,0.92562,2.7029
1.2982,4.7902,0.71787,-0.11204,0.9678,2.6881
1.663,4.7597,0.64322,-0.068695,0.99745,2.6736
1.9953,4.7095,0.57757,-0.044224,1.0134,2.6598
2.2817,4.6425,0.519,-0.037137,1.0091,2.6472
2.5189,4.561,0.45999,-0.050706,0.99139,2.6362
2.7131,4.4721,0.39602,-0.082084,0.97846,2.6267
2.8747,4.3789,0.32545,-0.12194,0.97859,2.6184
3.0171,4.2841,0.2539,-0.15758,0.99138,2.6105
3.1627,4.1845,0.1839,-0.17931,1.0152,2.6019
3.319,4.0763,0.11061,-0.18095,1.0555,2.5919
3.4862,3.9643,0.039024,-0.15408,1.1136,2.5807
3.6723,3.8464,-0.025075,-0.093523,1.188,2.5679
3.9107,3.7036,-0.073343,0.0032756,1.2741,2.5518
4.2245,3.5221,-0.091181,0.12542,1.3599,2.5312
4.5823,3.3114,-0.069935,0.24172,1.4186,2.5084
4.9187,3.0822,-0.032619,0.32038,1.4218,2.4868
5.1634,2.8611,-0.010109,0.34703,1.3661,2.47
5.3045,2.6632,-0.015524,0.33779,1.2753,2.4583
5.3893,2.4859,-0.034677,0.32447,1.1842,2.4492
5.4588,2.3126,-0.055684,0.32312,1.1088,2.4403
5.522,2.1309,-0.080245,0.34004,1.0494,2.431
5.5859,1.9312,-0.10367,0.36895,0.99957,2.4208
5.66,1.7072,-0.11135,0.39682,0.9422,2.4093
5.7486,1.4609,-0.090864,0.40761,0.86601,2.3967
5.8396,1.2058,-0.04321,0.39416,0.77316,2.3842
5.9183,0.93793,0.018445,0.36432,0.66869,2.372
5.9782,0.64032,0.085866,0.3225,0.55309,2.3596
6.0138,0.33676,0.15143,0.27013,0.43842,2.3479
6.0248,0.060378,0.21046,0.21109,0.34139,2.3382
