"V1","V2","V3","V4","V5","V6"
-0.11301,1.308,-2.3317,-0.34092,-2.0388,9.6634
-0.17346,1.2781,-2.3437,-0.44384,-2.0378,9.6688
-0.2263,1.2503,-2.3569,-0.53417,-2.0364,9.6737
-0.25709,1.2333,-2.3686,-0.59108,-2.0279,9.6769
-0.25759,1.2369,-2.3729,-0.59956,-1.998,9.6779
-0.23101,1.2672,-2.3646,-0.55569,-1.9347,9.6767
-0.1839,1.3186,-2.3465,-0.47052,-1.847,9.6737
-0.13147,1.3786,-2.3237,-0.36775,-1.7467,9.6703
-0.0783,1.444,-2.2987,-0.25138,-1.6377,9.6665
-0.019318,1.5075,-2.2753,-0.13081,-1.5258,9.6628
0.054539,1.5636,-2.2555,-0.013926,-1.4172,9.6593
0.14407,1.6065,-2.2399,0.090759,-1.3222,9.6562
0.24461,1.6391,-2.2265,0.1816,-1.2416,9.6534
0.34557,1.6679,-2.2119,0.25921,-1.1678,9.6509
0.44159,1.696,-2.1973,0.32305,-1.1029,9.6486
0.52401,1.7249,-2.1861,0.36964,-1.0503,9.6469
0.5999,1.7564,-2.1762,0.40274,-1.0008,9.6457
0.67875,1.7887,-2.1655,0.43513,-0.95031,9.6444
0.76547,1.8211,-2.1502,0.47837,-0.89533,9.6426
0.8682,1.853,-2.127,0.53838,-0.83207,9.6398
1.0034,1.8789,-2.0948,0.61339,-0.76093,9.6359
1.1737,1.8984,-2.0521,0.69503,-0.6808,9.6311
1.3661,1.912,-2.0035,0.77498,-0.59881,9.6258
1.5652,1.9228,-1.9512,0.85508,-0.51573,9.62
1.7977,1.9325,-1.8833,0.95732,-0.4181,9.6123
2.0973,1.9328,-1.7878,1.0872,-0.30193,9.6016
2.4461,1.9089,-1.6727,1.2112,-0.19546,9.5891
2.7563,1.8531,-1.5681,1.2763,-0.14625,9.5783
2.9558,1.775,-1.4971,1.2566,-0.17545,9.5719
3.0272,1.6946,-1.4666,1.1631,-0.26433,9.5706
3.0135,1.6181,-1.4646,1.032,-0.38271,9.5725
2.9741,1.5377,-1.4713,0.89345,-0.50784,9.5751
2.9457,1.446,-1.4753,0.76173,-0.62487,9.5769
2.9302,1.3553,-1.4746,0.64461,-0.72039,9.5781
2.92,1.2783,-1.471,0.54372,-0.79166,9.579
2.9034,1.2241,-1.4619,0.45181,-0.84471,9.5802
2.8791,1.1818,-1.45,0.36256,-0.89161,9.5818
2.8501,1.1449,-1.4421,0.28035,-0.93451,9.5836
2.8167,1.1174,-1.4402,0.21012,-0.96775,9.5856
2.7809,1.0999,-1.4453,0.1545,-0.99111,9.5878
2.7471,1.0946,-1.4562,0.11293,-1.004,9.5897
2.718,1.0855,-1.4708,0.068737,-1.0182,9.5916
2.6883,1.0497,-1.4836,-0.0050463,-1.0526,9.5936
2.6455,0.97558,-1.4896,-0.13115,-1.1177,9.5966
2.5799,0.85751,-1.4901,-0.31638,-1.2197,9.6008
2.4966,0.70619,-1.4887,-0.53414,-1.3404,9.6059
2.4172,0.56304,-1.4875,-0.72698,-1.4345,9.6104
2.3532,0.45395,-1.4847,-0.86658,-1.482,9.6139
2.309,0.38949,-1.4832,-0.94578,-1.4842,9.6161
2.2578,0.33583,-1.4863,-1.0217,-1.4846,9.6186
2.1787,0.25645,-1.4969,-1.1418,-1.5186,9.6226
2.0799,0.15353,-1.5156,-1.2946,-1.5797,9.6277
1.9798,0.054365,-1.5402,-1.4459,-1.643,9.6331
1.8848,-0.021548,-1.5664,-1.5774,-1.6944,9.6384
