"V1","V2","V3","V4","V5","V6"
3.4523,1.5053,0.43965,0.78374,-0.27708,4.1452
3.4468,1.4727,0.44378,0.74259,-0.33757,4.1451
3.4415,1.4311,0.44921,0.68618,-0.40523,4.145
3.437,1.3712,0.45912,0.60212,-0.48438,4.1447
3.4259,1.2921,0.47299,0.48642,-0.57919,4.1447
3.4025,1.1931,0.48652,0.33506,-0.69103,4.1453
3.3684,1.0796,0.49576,0.15572,-0.81223,4.1467
3.3272,0.97926,0.49585,-0.013456,-0.92047,4.1488
3.2839,0.91734,0.48529,-0.13711,-0.99862,4.1514
3.2442,0.88388,0.4671,-0.2182,-1.0506,4.1538
3.2096,0.85667,0.44543,-0.27904,-1.0875,4.1559
3.1761,0.81622,0.42542,-0.34651,-1.1242,4.1576
3.14,0.76196,0.41054,-0.42855,-1.1671,4.1591
3.102,0.71002,0.4005,-0.51248,-1.2111,4.1607
3.0651,0.66269,0.39464,-0.59385,-1.2513,4.1622
3.0307,0.62018,0.39114,-0.67316,-1.282,4.1638
3.0006,0.56622,0.38871,-0.75867,-1.3005,4.1652
2.9796,0.50146,0.38648,-0.83913,-1.3034,4.1658
2.9737,0.45139,0.3871,-0.88603,-1.2857,4.1656
2.985,0.42325,0.3937,-0.89188,-1.247,4.1644
3.0145,0.41451,0.40811,-0.86228,-1.1899,4.162
3.06,0.4242,0.42544,-0.80531,-1.1231,4.1589
3.1167,0.45034,0.44229,-0.73132,-1.0542,4.1557
3.1736,0.47297,0.45776,-0.66322,-0.9907,4.1527
3.2228,0.47664,0.47317,-0.6169,-0.93677,4.15
3.2625,0.44795,0.49026,-0.60517,-0.8927,4.1473
3.3022,0.39366,0.5074,-0.61528,-0.84367,4.1443
3.3468,0.32959,0.51998,-0.62858,-0.7825,4.141
3.3823,0.24447,0.52922,-0.66295,-0.72797,4.1377
3.3892,0.12673,0.5383,-0.7442,-0.70661,4.1352
3.3658,-0.0088283,0.54768,-0.86318,-0.72277,4.1339
3.329,-0.12858,0.55497,-0.97977,-0.75739,4.1335
3.2912,-0.21781,0.55769,-1.0704,-0.79328,4.1336
3.2544,-0.28963,0.55504,-1.1407,-0.81929,4.1339
3.2192,-0.35023,0.55148,-1.2003,-0.82969,4.1343
3.1907,-0.39339,0.55355,-1.246,-0.82686,4.1347
3.1819,-0.42206,0.56084,-1.2599,-0.79863,4.134
3.2137,-0.4249,0.56962,-1.2148,-0.72751,4.1315
3.298,-0.38586,0.58054,-1.099,-0.6096,4.1273
3.4144,-0.31464,0.60294,-0.94066,-0.46828,4.1219
3.5276,-0.25267,0.63967,-0.79027,-0.33448,4.116
3.6172,-0.21733,0.68209,-0.67819,-0.23168,4.1105
3.6703,-0.22112,0.72112,-0.62247,-0.17466,4.1061
3.6855,-0.26236,0.75069,-0.62482,-0.16155,4.1033
