"V1","V2","V3","V4","V5","V6"
-0.14699,-3.7465,-1.5368,-1.826,1.4083,-0.80871
0.20123,-3.6251,-1.5736,-1.9784,1.2862,-0.81335
0.56605,-3.4853,-1.6115,-2.1252,1.159,-0.81805
0.9623,-3.3094,-1.6507,-2.2525,1.0203,-0.8231
1.3959,-3.0801,-1.695,-2.3609,0.85842,-0.82851
1.8333,-2.7857,-1.7391,-2.4628,0.68035,-0.83293
2.2483,-2.4188,-1.7708,-2.5731,0.50355,-0.83506
2.6126,-2.0268,-1.7869,-2.6678,0.35286,-0.83541
2.9172,-1.6446,-1.7858,-2.7293,0.24756,-0.83472
3.1742,-1.2788,-1.7661,-2.7613,0.19089,-0.83333
3.3944,-0.93502,-1.7318,-2.7719,0.17103,-0.83151
3.5952,-0.60603,-1.6902,-2.7605,0.17153,-0.82974
3.789,-0.29242,-1.6479,-2.718,0.18701,-0.82887
3.9794,-0.011988,-1.6118,-2.6352,0.23064,-0.8298
4.1646,0.22614,-1.591,-2.5126,0.30898,-0.83274
4.3373,0.45425,-1.5769,-2.3723,0.39779,-0.83611
4.4887,0.68397,-1.5574,-2.2326,0.48037,-0.83888
4.6215,0.93982,-1.5169,-2.0988,0.55141,-0.84032
4.7374,1.2359,-1.4519,-1.9743,0.61036,-0.83992
4.8267,1.5491,-1.3819,-1.8633,0.65002,-0.83772
4.8764,1.8442,-1.3189,-1.7843,0.65521,-0.83349
4.8723,2.1268,-1.2609,-1.7716,0.60646,-0.82538
4.8332,2.3757,-1.1963,-1.8279,0.51782,-0.81438
4.7817,2.5633,-1.1236,-1.9344,0.40728,-0.80264
4.7235,2.6964,-1.044,-2.0736,0.28387,-0.79103
4.6528,2.7878,-0.96646,-2.2224,0.15186,-0.78002
4.5626,2.8583,-0.89304,-2.3617,0.016473,-0.76971
4.4469,2.9199,-0.83451,-2.4708,-0.11727,-0.76061
4.3023,3.0177,-0.79126,-2.5216,-0.22874,-0.7521
4.1363,3.24,-0.72892,-2.5015,-0.28383,-0.74145
3.9546,3.6116,-0.62763,-2.4093,-0.27109,-0.7277
3.7632,4.0514,-0.51103,-2.2544,-0.20908,-0.71348
3.5654,4.4479,-0.40758,-2.0801,-0.14699,-0.70119
3.3595,4.7546,-0.32797,-1.9181,-0.10676,-0.69134
3.1223,4.9924,-0.25827,-1.7663,-0.097491,-0.68241
2.8364,5.2094,-0.16395,-1.6234,-0.11197,-0.67171
2.5014,5.4293,-0.033281,-1.4797,-0.14089,-0.65855
2.1549,5.6242,0.111,-1.3302,-0.18115,-0.64534
1.8217,5.7908,0.26949,-1.16,-0.21759,-0.63327
1.5047,5.9406,0.43909,-0.95791,-0.22773,-0.62285
1.2208,6.0592,0.59371,-0.75205,-0.21161,-0.61478
0.95455,6.1417,0.73719,-0.55748,-0.1909,-0.60779
0.68244,6.1853,0.87583,-0.38742,-0.19718,-0.60029
0.37733,6.1893,1.0038,-0.26434,-0.25202,-0.59113
