"V1","V2","V3","V4","V5","V6"
-0.66425,3.9303,1.9085,1.9099,0.46108,9.1712
-0.16112,4.0146,1.9333,1.906,0.35985,9.156
0.32248,4.0812,1.9607,1.8836,0.25301,9.1418
0.77091,4.1159,1.9922,1.8254,0.13409,9.1292
1.168,4.1148,2.0275,1.7247,0.0056839,9.1189
1.5085,4.0891,2.0637,1.5983,-0.11466,9.1105
1.8122,4.0548,2.0999,1.4816,-0.20756,9.1023
2.1056,4.0187,2.1325,1.3818,-0.28191,9.0929
2.3785,3.982,2.1567,1.288,-0.34676,9.0833
2.6177,3.943,2.1676,1.1853,-0.4097,9.0747
2.8076,3.9016,2.1673,1.0713,-0.47067,9.0681
2.9556,3.8546,2.1571,0.94375,-0.53118,9.0632
3.0964,3.7943,2.1463,0.80798,-0.58779,9.0583
3.2671,3.7158,2.1428,0.67171,-0.6293,9.0514
3.4787,3.6203,2.1521,0.54886,-0.64906,9.0416
3.7236,3.5146,2.1755,0.44674,-0.64258,9.0292
3.9913,3.4032,2.2115,0.36838,-0.60628,9.0146
4.2728,3.2889,2.2551,0.31268,-0.5372,8.9984
4.5579,3.1694,2.2984,0.26758,-0.4415,8.9812
4.8334,3.0336,2.3377,0.21532,-0.33542,8.9634
5.0895,2.8624,2.3718,0.13357,-0.24269,8.9451
5.3055,2.6459,2.3977,0.0041719,-0.19222,8.9273
5.4673,2.3835,2.4186,-0.18023,-0.1966,8.911
5.5656,2.0795,2.4419,-0.41624,-0.25119,8.8964
5.5977,1.7285,2.4688,-0.70164,-0.34361,8.883
5.5715,1.3254,2.4914,-1.0251,-0.45003,8.8699
5.5052,0.90008,2.4989,-1.3458,-0.53325,8.8567
5.4232,0.51466,2.4932,-1.6035,-0.56564,8.8446
5.3307,0.18459,2.4796,-1.7867,-0.54997,8.8342
5.2065,-0.13061,2.4566,-1.924,-0.50389,8.8244
5.0203,-0.46845,2.4286,-2.0546,-0.44702,8.8149
4.7429,-0.83657,2.4077,-2.2079,-0.40086,8.8065
4.3556,-1.2369,2.3978,-2.3738,-0.36624,8.7985
3.859,-1.6685,2.3892,-2.5089,-0.3276,8.7899
3.2612,-2.1219,2.3731,-2.5884,-0.27553,8.7802
