"V1","V2","V3","V4","V5","V6"
0.86439,-4.4053,-3.0521,-0.37262,-0.51809,3.9626
0.55211,-4.4843,-2.9672,-0.35646,-0.51608,3.973
0.23089,-4.5557,-2.8743,-0.32838,-0.50358,3.9843
-0.095665,-4.6057,-2.7685,-0.27069,-0.47249,3.9963
-0.44556,-4.6312,-2.646,-0.18197,-0.42166,4.0099
-0.80443,-4.633,-2.5141,-0.07584,-0.37247,4.0245
-1.1532,-4.618,-2.3885,0.018544,-0.34543,4.0395
-1.4535,-4.5951,-2.2867,0.078635,-0.35245,4.0533
-1.6638,-4.5685,-2.2098,0.11108,-0.38455,4.0642
-1.7344,-4.5425,-2.1556,0.13946,-0.42684,4.0697
-1.6589,-4.5212,-2.1196,0.1761,-0.4657,4.0688
-1.4974,-4.5083,-2.1011,0.21261,-0.49256,4.0635
-1.357,-4.5043,-2.0973,0.22549,-0.51476,4.0581
-1.3172,-4.509,-2.0967,0.20071,-0.54655,4.0565
-1.404,-4.5173,-2.089,0.14425,-0.58911,4.0605
-1.5811,-4.5156,-2.0708,0.085355,-0.61464,4.0685
-1.7683,-4.4871,-2.043,0.074278,-0.58659,4.0768
-1.9105,-4.4217,-2.0047,0.14289,-0.48985,4.083
-2.0003,-4.319,-1.9517,0.2906,-0.34242,4.087
-2.047,-4.1891,-1.8834,0.48988,-0.17784,4.0895
-2.0714,-4.0531,-1.8125,0.68814,-0.026115,4.0912
-2.1016,-3.9312,-1.7471,0.84306,0.081544,4.0936
-2.1665,-3.8387,-1.691,0.9233,0.11526,4.0982
-2.2955,-3.7718,-1.6417,0.91954,0.065975,4.1068
-2.516,-3.7062,-1.5919,0.84375,-0.0531,4.1215
-2.8409,-3.6139,-1.5373,0.71854,-0.2204,4.1438
-3.2372,-3.4846,-1.4935,0.56755,-0.39272,4.1715
-3.6433,-3.315,-1.4716,0.42799,-0.52214,4.2008
-4.0087,-3.0982,-1.4653,0.33731,-0.57898,4.229
-4.2844,-2.8344,-1.4566,0.3285,-0.55313,4.2532
-4.458,-2.5218,-1.4366,0.41144,-0.45452,4.2731
-4.5399,-2.168,-1.4053,0.57293,-0.31216,4.2891
-4.5402,-1.8048,-1.3655,0.77522,-0.15384,4.3012
-4.4749,-1.4672,-1.3301,0.9757,0.0036214,4.3099
-4.364,-1.1518,-1.3041,1.1596,0.14432,4.3165
-4.2292,-0.84242,-1.2818,1.327,0.24762,4.3225
-4.0919,-0.5565,-1.2605,1.4633,0.30326,4.3283
-3.9597,-0.29274,-1.2393,1.5702,0.31498,4.3341
-3.8308,-0.033965,-1.2127,1.6509,0.28586,4.3402
-3.6979,0.23686,-1.1786,1.7122,0.21817,4.3469
-3.5519,0.52332,-1.1428,1.7608,0.12267,4.3542
-3.3891,0.80117,-1.1172,1.8006,0.028796,4.3612
-3.2201,1.0468,-1.1024,1.8224,-0.049691,4.3675
-3.0551,1.2497,-1.0935,1.8183,-0.10732,4.3732
-2.8843,1.4212,-1.0877,1.8012,-0.13931,4.3782
-2.7086,1.5618,-1.0784,1.7835,-0.13131,4.382
-2.5068,1.7018,-1.0631,1.7811,-0.092423,4.3848
-2.2619,1.8716,-1.0425,1.7966,-0.056424,4.3867
-1.9762,2.0675,-1.0214,1.8224,-0.042364,4.3878
-1.6674,2.2679,-0.99895,1.8401,-0.041681,4.3882
-1.345,2.4597,-0.97674,1.8343,-0.046496,4.3884
-1.012,2.6369,-0.95755,1.7969,-0.05998,4.3885
-0.67708,2.786,-0.94424,1.731,-0.085079,4.3885
-0.34036,2.8979,-0.93737,1.6432,-0.11626,4.3882
-0.0080871,2.9734,-0.93753,1.5407,-0.14491,4.3876
0.34205,3.0243,-0.94337,1.4324,-0.16128,4.3859
0.72533,3.0542,-0.9453,1.3383,-0.15267,4.3821
1.1212,3.0596,-0.93578,1.2655,-0.11791,4.3763
1.5256,3.0278,-0.91295,1.2015,-0.08037,4.3686
1.934,2.9481,-0.8799,1.119,-0.062635,4.3599
2.3311,2.8155,-0.8417,0.99078,-0.085076,4.3514
2.6593,2.6436,-0.80947,0.80583,-0.15282,4.3448
2.8762,2.4593,-0.79334,0.58581,-0.24863,4.3412
3.0002,2.2811,-0.78871,0.36301,-0.34174,4.3398
3.0775,2.1177,-0.78751,0.16865,-0.40393,4.3389
3.1475,1.9686,-0.78099,0.015951,-0.4233,4.3372
3.2309,1.8181,-0.76391,-0.10426,-0.41437,4.3341
3.3242,1.653,-0.74116,-0.20759,-0.39831,4.3298
3.4068,1.4662,-0.72884,-0.30778,-0.39311,4.3252
3.4592,1.2657,-0.73712,-0.41488,-0.40097,4.3216
